algorithm_display,algorithm_variant,param__kernel,param__nu,param__gamma,param__train_fraction,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,median_evaluation_f1,mean_range_f1,success_rate,mean_runtime_seconds
OCSVM | Gamma 0.1,Gamma 0.1,rbf,0.05,0.1,0.1,161,0.7202595318688803,0.27226030736642376,0.20467283733466038,0.0444057466260339,0.20467283733466038,0.0,0.5821217664581455
OCSVM | Train frac 0.20,Train frac 0.20,rbf,0.05,scale,0.2,161,0.7433135086857994,0.2505118718458622,0.15525335283891903,0.0627399232245681,0.15525335283891903,0.0,1.194366478258151
OCSVM | Baseline,Baseline,rbf,0.05,scale,0.1,161,0.7497914841194521,0.24644587319679365,0.14820121247623289,0.0536672629695885,0.14820121247623289,0.0,0.6577983000006611
OCSVM | Nu 0.10,Nu 0.10,rbf,0.1,scale,0.1,161,0.7539618119993207,0.23661599489352048,0.14225702134159068,0.0464725529168288,0.14225702134159068,0.0,1.0400164068346809
OCSVM | Kernel linear,Kernel linear,linear,0.05,scale,0.1,161,0.4072470257721749,0.05303833731167909,0.05320202260717922,0.0,0.05320202260717922,0.0,0.1773597950290061
