algorithm_display,algorithm_variant,anomaly_ratio_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
HBOS | Baseline,Baseline,sparse,125,0.5971263713345731,0.08037639339956222,0.06242177965291013,0.06242177965291013,0.9481937368016224
HBOS | Tol 0.2,Tol 0.2,sparse,125,0.5971263713345731,0.08037639339956222,0.06242177965291013,0.06242177965291013,0.93240128560015
HBOS | Alpha 0.05,Alpha 0.05,sparse,125,0.5980905599949452,0.0810757315643013,0.060587244623648354,0.060587244623648354,0.9360611952026374
HBOS | Bins 20,Bins 20,sparse,125,0.6096654228771984,0.08243815814532326,0.05812660555274417,0.05812660555274417,0.9439131559969391
HBOS | Alpha 0.05,Alpha 0.05,moderate,36,0.5143585075077447,0.11112054032968229,0.13914266916693643,0.13914266916693643,0.8524802222228673
HBOS | Bins 20,Bins 20,moderate,36,0.5083917005185074,0.11087198805133269,0.13832846747964886,0.13832846747964886,0.8455412861092353
HBOS | Baseline,Baseline,moderate,36,0.5172241458981522,0.1086547033574631,0.1371759684347541,0.1371759684347541,0.8480490138883598
HBOS | Tol 0.2,Tol 0.2,moderate,36,0.5172241458981522,0.1086547033574631,0.1371759684347541,0.1371759684347541,0.855162058333614
