dataset_name,best_algorithm,best_algorithm_base_display,best_algorithm_superfamily,best_algorithm_category,best_algorithm_display,best_algorithm_variant,best_window_size,best_window_stride,best_threshold_method,best_threshold_value,best_evaluation_mode,best_f1
030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x1,Context x1,183,1,sigma,3.0,range,0.1134020618556701
031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x1,Context x1,183,1,sigma,3.0,range,0.8870523415977961
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x4,Context x4,178,1,sigma,3.0,range,0.875609756097561
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x2,Context x2,173,1,sigma,3.0,range,0.8241469816272966
034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Baseline,Baseline,154,1,sigma,3.0,range,0.8571428571428571
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x2,Context x2,165,1,sigma,3.0,range,0.4508670520231214
036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681,isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Baseline,Baseline,175,1,sigma,3.0,range,0.0
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1_5000_17210_17260,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Local k10,Local k10,33,1,sigma,3.0,range,0.6181818181818182
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2_5000_27862_27932,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x2,Context x2,33,1,sigma,3.0,range,0.31346578366445915
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Local k10,Local k10,33,1,sigma,3.0,range,0.3054187192118227
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4_6000_17390_17520,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Warmup 0.20,Warmup 0.20,34,1,sigma,3.0,range,0.32774674115456237
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5_7000_17390_17520,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x2,Context x2,33,1,sigma,3.0,range,0.34334763948497854
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6_7000_12190_12420,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,33,1,sigma,3.0,range,0.5751824817518248
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Warmup 0.20,Warmup 0.20,45,1,sigma,3.0,range,0.4258064516129032
044_UCR_Anomaly_DISTORTEDPowerDemand1_9000_18485_18821,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x2,Context x2,168,1,sigma,3.0,range,0.8564167725540025
045_UCR_Anomaly_DISTORTEDPowerDemand2_14000_23357_23717,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,168,1,sigma,3.0,range,0.8183306055646481
046_UCR_Anomaly_DISTORTEDPowerDemand3_16000_23405_23477,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x1,Context x1,168,1,sigma,3.0,range,0.10874200426439233
047_UCR_Anomaly_DISTORTEDPowerDemand4_18000_24005_24077,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x2,Context x2,168,1,sigma,3.0,range,0.20797720797720798
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS_3500_5988_6085,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x2,Context x2,98,1,sigma,3.0,range,0.8634361233480177
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS_3500_5365_5380,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x4,Context x4,98,1,sigma,3.0,range,0.23880597014925373
050_UCR_Anomaly_DISTORTEDTkeepForthMARS_3500_5988_6085,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x1,Context x1,98,1,sigma,3.0,range,0.2595419847328244
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,98,1,sigma,3.0,range,0.20588235294117646
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x1,Context x1,98,1,sigma,3.0,range,0.6971830985915493
053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,115,1,sigma,3.0,range,0.2747603833865815
054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979,isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Baseline,Baseline,115,1,sigma,3.0,range,0.6557377049180327
055_UCR_Anomaly_DISTORTEDapneaecg2_10000_20950_21100,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Global L1,Global L1,40,1,sigma,3.0,range,0.5230769230769231
056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Local k10,Local k10,40,1,sigma,3.0,range,0.7137809187279152
057_UCR_Anomaly_DISTORTEDapneaecg4_6000_16000_16100,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x4,Context x4,40,1,sigma,3.0,range,0.36281179138321995
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,40,1,sigma,3.0,range,0.6593406593406593
065_UCR_Anomaly_DISTORTEDinsectEPG1_3000_7000_7030,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x2,Context x2,26,1,sigma,3.0,range,0.3229166666666667
066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x2,Context x2,26,1,sigma,3.0,range,0.3561643835616438
067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x1,Context x1,26,1,sigma,3.0,range,0.3018867924528302
068_UCR_Anomaly_DISTORTEDinsectEPG4_1300_6508_6558,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Local k10,Local k10,26,1,sigma,3.0,range,0.5930232558139535
