algorithm_display,algorithm_variant,param__n_neighbors,param__algorithm,param__leaf_size,param__metric,param__p,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,median_evaluation_f1,mean_range_f1,success_rate,mean_runtime_seconds
Local Outlier Factor | Baseline,Baseline,20.0,auto,30.0,minkowski,2.0,162,0.7997918385207191,0.2296697914504181,0.12189724572634691,0.0626438390490585,0.12189724572634691,0.0,1.3233842024702527
Local Outlier Factor | Leaf size 60,Leaf size 60,20.0,auto,60.0,minkowski,2.0,162,0.799779442924214,0.2296697914504181,0.12189724572634691,0.0626438390490585,0.12189724572634691,0.0,1.3481883888898551
Local Outlier Factor | Search brute,Search brute,20.0,brute,30.0,minkowski,2.0,162,0.7997889942820278,0.22966973048402672,0.12189712674502576,0.0626438390490585,0.12189712674502576,0.0,1.3511863629632619
Local Outlier Factor | p = 1,p = 1,20.0,auto,30.0,minkowski,1.0,161,0.7908852176408385,0.19995157166408672,0.10945531012252811,0.0523790483806477,0.10945531012252811,0.0,14.785846179501972
Local Outlier Factor | Metric manhattan,Metric manhattan,20.0,auto,30.0,manhattan,2.0,162,0.7897401141745555,0.19939733158689835,0.1090782105004936,0.0521182782157546,0.1090782105004936,0.0,15.392120391974279
Local Outlier Factor | Neighbors 10,Neighbors 10,10.0,auto,30.0,minkowski,2.0,162,0.7210037720738964,0.18446117553847072,0.09311855395741565,0.051502297045945,0.09311855395741565,0.0,1.2962035734566104
