algorithm_display,algorithm_variant,param__alpha,param__init_length,param__batch_size,param__subsequence_multiplier,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,median_evaluation_f1,mean_range_f1,success_rate,mean_runtime_seconds
SAND | Init 3000,Init 3000,0.5,3000.0,2000.0,4.0,161,0.9321282769402381,0.29146436949183674,0.24326503198425728,0.1691542288557213,0.24326503198425728,0.0,15.881547968944004
SAND | Subseq x2,Subseq x2,0.5,5000.0,2000.0,2.0,161,0.9242512898788448,0.2998015346031195,0.24190803821622825,0.1688888888888889,0.24190803821622825,0.0,10.299009270184769
SAND | Alpha 0.7,Alpha 0.7,0.7,5000.0,2000.0,4.0,161,0.9229893317547282,0.2823204895009175,0.23945272978858334,0.1581395348837209,0.23945272978858334,0.0,15.498733888818775
SAND | k = 3,k = 3,0.5,5000.0,2000.0,4.0,161,0.9244669181429498,0.2896597501161253,0.23743095470587025,0.1655092592592592,0.23743095470587025,0.0,10.344863993788184
SAND | Overlap 64,Overlap 64,0.5,5000.0,2000.0,4.0,161,0.9326572768605472,0.2858977793038602,0.23416744722836522,0.1691542288557213,0.23416744722836522,0.0,22.7056623391302
SAND | Baseline,Baseline,0.5,5000.0,2000.0,4.0,161,0.928792642232427,0.28140340050892626,0.22910898169730481,0.152112676056338,0.22910898169730481,0.0,15.909000072672006
SAND | Batch 1000,Batch 1000,0.5,5000.0,1000.0,4.0,161,0.9174742247893881,0.22880207513115028,0.19646551442494295,0.1087813732240095,0.19646551442494295,0.0,17.910437383850233
