algorithm_display,algorithm_variant,anomaly_ratio_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
Matrix Profile | Context x1,Context x1,sparse,114,0.9273985535501034,0.29440432091377816,0.1869121695438942,0.1869121695438942,0.5709372263160747
Matrix Profile | Context x2,Context x2,sparse,114,0.9499267203126923,0.2694928725936527,0.16359634943866191,0.16359634943866191,0.5803903298275831
Matrix Profile | Context x4,Context x4,sparse,114,0.9426021518900194,0.19661562776536284,0.12404451631130793,0.12404451631130793,0.5862439254374374
Matrix Profile | Context x2,Context x2,moderate,36,0.9092293118973443,0.48554835767276366,0.4061474529612592,0.4061474529612592,0.31103923611711554
Matrix Profile | Context x1,Context x1,moderate,36,0.9124635241279235,0.491954986548748,0.37204765766812326,0.37204765766812326,0.9669809722254286
Matrix Profile | Context x4,Context x4,moderate,36,0.8746927707464258,0.35513714096277593,0.3140606460482129,0.3140606460482129,0.32465349444666775
