algorithm_display,algorithm_variant,ablation_parameter,ablation_label,ablation_role,dataset_count,mean_baseline_evaluation_f1,mean_variant_evaluation_f1,mean_delta_evaluation_f1,delta_evaluation_f1_ci_low,delta_evaluation_f1_ci_high,mean_delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,mean_delta_runtime_seconds,median_runtime_ratio,mean_runtime_ratio,win_rate_evaluation_f1,loss_rate_evaluation_f1,mean_delta_evaluation_precision,mean_delta_evaluation_recall,mean_delta_range_f1
SAND | Init 3000,Init 3000,init_length,Init 3000,score_driver,161,0.22910898169730484,0.24326503198425728,0.014156050286952436,0.0016065356237625892,0.026080829656848915,0.0033356347078110243,-0.00034568850715509833,0.007770453444584797,-0.02745210372800187,1.059533158884896,1.136359468549623,0.35403726708074534,0.32919254658385094,0.016551229335169573,0.007599909574422334,0.014156050286952436
SAND | Subseq x2,Subseq x2,subsequence_multiplier,Subseq x2,score_driver,161,0.22910898169730484,0.24190803821622825,0.012799056518923444,-0.00417015730405304,0.03318740735165668,-0.004541352353582309,-0.011171153320857646,0.0027202655330545267,-5.609990802487237,0.601765051944137,0.8366013625152953,0.3167701863354037,0.38509316770186336,0.01624583753571951,0.014074738432078002,0.012799056518923444
SAND | Alpha 0.7,Alpha 0.7,alpha,Alpha 0.7,score_driver,161,0.22910898169730484,0.23945272978858334,0.010343748091278526,-0.0021522329586805126,0.0259532037431827,-0.005803310477698881,-0.011096576196816298,-0.0006386645034076042,-0.4102661838532304,1.0110496742821273,1.0445173412858506,0.4161490683229814,0.2857142857142857,0.01587618130504719,-0.015357170753993623,0.010343748091278526
SAND | k = 3,k = 3,k,k = 3,score_driver,161,0.22910898169730484,0.23743095470587025,0.008321973008565442,-0.0016348626494587183,0.0179761217539587,-0.004325724089477169,-0.01147351487633322,0.0024075454126709648,-5.564136078883822,0.6625763062965774,0.7361958944104824,0.32919254658385094,0.2484472049689441,0.006771093245496231,0.01071886731771779,0.008321973008565442
SAND | Overlap 64,Overlap 64,overlap,Overlap 64,score_driver,161,0.22910898169730484,0.23416744722836522,0.005058465531060368,-0.004226651184258839,0.014950430310465328,0.003864634628120193,-0.00026141119085810874,0.009433845466917532,6.7966622664581955,1.2557441656633983,1.7795245300031308,0.37267080745341613,0.30434782608695654,0.003150567507060927,0.00136220223883415,0.005058465531060368
SAND | Batch 1000,Batch 1000,batch_size,Batch 1000,score_driver,161,0.22910898169730484,0.19646551442494295,-0.0326434672723619,-0.05406114588887216,-0.01145036997898537,-0.011318417443038931,-0.021818459997866822,-0.002089304305882429,2.0014373111782264,1.2314352426150337,1.2482381897882269,0.33540372670807456,0.37267080745341613,-0.011475018978914123,-0.11742680112631036,-0.0326434672723619
