algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,evaluation_mode,run_count,success_count,mean_roc_auc,median_roc_auc,mean_average_precision,median_average_precision,mean_precision,mean_recall,mean_f1,median_f1,mean_evaluation_precision,mean_evaluation_recall,mean_evaluation_f1,median_evaluation_f1,mean_precision_at_k,mean_range_precision,mean_range_recall,mean_range_f1,mean_affiliation_precision,mean_affiliation_recall,mean_runtime_seconds,median_runtime_seconds,success_rate,mean_runtime,accuracy_rank,runtime_rank,edge_score,norm_f1,norm_runtime,edge_feasibility
matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,range,10,10,0.9095795436234162,0.9383992863544075,0.41715887585228184,0.38411394666003573,0.434890216996323,0.48457795222419175,0.43748976703094283,0.6033085977057291,0.41266004039478127,0.4444401395571312,0.42253139844733933,0.4890153528593689,0.36859158955039323,0.41266004039478127,0.4444401395571312,0.42253139844733933,0.8206222516125357,0.9394650324736686,2.533548640002846,0.10032385001250077,1.0,2.533548640002846,1,4,2.2,1.0,1.0,0.9999999989999999
isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Baseline,Baseline,isolation_forest__tab_01,range,10,10,0.6679033417463229,0.8373996423326522,0.4713522869674205,0.6717181614425658,0.49686191457482937,0.41629119223313626,0.4112838653713859,0.657539182129346,0.4079889807162534,0.3922474710453013,0.31653102073221595,0.3405194683199474,0.43669468471550277,0.4079889807162534,0.3922474710453013,0.31653102073221595,0.8307834869617461,0.904875441030579,1.1757941600022606,0.4419850999984192,1.0,1.1757941600022606,2,3,2.4000000000000004,0.5019085767605264,0.3804051690070263,1.3194052455997267
hbos,HBOS,Density-based,Distribution,HBOS | Baseline,Baseline,hbos__tab_01,range,10,10,0.525813169279179,0.39891505173015007,0.2812401543717581,0.0181984692106372,0.3048214830637779,0.2200557103064067,0.17388746846564723,0.0,0.3048214830637779,0.25604456824512534,0.22505398189515846,0.0,0.2626926648096565,0.3048214830637779,0.25604456824512534,0.22505398189515846,0.8257490230624503,0.41037876711717064,0.4242726900003618,0.4615580499958014,1.0,0.4242726900003618,3,2,2.5999999999999996,0.07206172668103049,0.03745743799072584,1.9238295148494373
local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,range,10,10,0.6046737164235122,0.6115020337222599,0.24348683997455617,0.1279717278652174,0.2793575292723561,0.2716113784080358,0.2519114365573242,0.15308151093439365,0.2649769193315064,0.24646273318139614,0.20971830275956185,0.10881560783096822,0.2582968521159402,0.2649769193315064,0.24646273318139614,0.20971830275956185,0.7455027781874091,0.925108071664215,0.34219001000165006,0.16973424999741837,1.0,0.34219001000165006,4,1,2.8,0.0,0.0,0.0
