algorithm_display,algorithm_variant,length_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
HBOS | Bins 20,Bins 20,medium,84,0.6084743424233492,0.09274129057797335,0.10722560436945236,0.10722560436945236,0.37300274047447596
HBOS | Baseline,Baseline,medium,84,0.6130551287670019,0.08580667994862853,0.10202053016689264,0.10202053016689264,0.372750859525002
HBOS | Tol 0.2,Tol 0.2,medium,84,0.6130551287670019,0.08580667994862853,0.10202053016689264,0.10202053016689264,0.3705097726179658
HBOS | Alpha 0.05,Alpha 0.05,medium,84,0.6111427735363617,0.0856297038574635,0.10115574908396129,0.10115574908396129,0.3705147690485492
HBOS | Baseline,Baseline,long,77,0.5423926604250255,0.08767347246920978,0.05417315306812901,0.05417315306812901,1.5291286935075792
HBOS | Tol 0.2,Tol 0.2,long,77,0.5423926604250255,0.08767347246920978,0.05417315306812901,0.05417315306812901,1.5092619987028537
HBOS | Alpha 0.05,Alpha 0.05,long,77,0.5447043284752284,0.09015468536856219,0.053057905778091,0.053057905778091,1.5139441142892829
HBOS | Bins 20,Bins 20,long,77,0.5636160300617499,0.08449211596706006,0.0420610357964465,0.0420610357964465,1.5207324753206997
