algorithm_display,algorithm_variant,ablation_parameter,ablation_label,ablation_role,dataset_count,mean_baseline_evaluation_f1,mean_variant_evaluation_f1,mean_delta_evaluation_f1,delta_evaluation_f1_ci_low,delta_evaluation_f1_ci_high,mean_delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,mean_delta_runtime_seconds,median_runtime_ratio,mean_runtime_ratio,win_rate_evaluation_f1,loss_rate_evaluation_f1,mean_delta_evaluation_precision,mean_delta_evaluation_recall,mean_delta_range_f1
Local Outlier Factor | Leaf size 60,Leaf size 60,leaf_size,Leaf size 60,backend,128,0.13793089130848063,0.13793089130848063,0.0,0.0,0.0,0.0,0.0,0.0,-0.026124339063926517,0.9982768081426061,0.9962632649448591,0.0,0.0,0.0,0.0,0.0
Local Outlier Factor | Search brute,Search brute,algorithm,Search brute,backend,128,0.13793089130848063,0.13793089130848063,0.0,0.0,0.0,0.0,0.0,0.0,-0.03127766953048194,1.000763131265558,1.0018047539422321,0.0,0.0,0.0,0.0,0.0
Local Outlier Factor | Metric manhattan,Metric manhattan,metric,Metric manhattan,score_driver,127,0.13834027943526817,0.1275286198221836,-0.010811659613084557,-0.02490305028653573,0.0027591807378896972,-0.012322113432404405,-0.026345842477260593,0.0031584955360207502,6.011096295273879,10.24010929169155,9.376198786490608,0.4015748031496063,0.3700787401574803,-0.0008170982464407835,-0.06173255263289436,-0.010811659613084557
Local Outlier Factor | p = 1,p = 1,p,p = 1,score_driver,127,0.13834027943526817,0.1275286198221836,-0.010811659613084557,-0.02490305028653573,0.0027591807378896972,-0.012322113432404405,-0.026345842477260593,0.0031584955360207502,6.001818162991342,10.445376681819269,9.40950303515183,0.4015748031496063,0.3700787401574803,-0.0008170982464407835,-0.06173255263289436,-0.010811659613084557
Local Outlier Factor | Neighbors 10,Neighbors 10,n_neighbors,Neighbors 10,score_driver,128,0.13793089130848063,0.10191949153900012,-0.03601139976948049,-0.05440259698015047,-0.01842116462990283,-0.08377546052066122,-0.11984440917781683,-0.052988609897387386,-0.0353048695317284,0.9749816096781095,0.9767702082278699,0.328125,0.484375,-0.03818676934472568,-0.07603456269541212,-0.03601139976948049
