algorithm_display,algorithm_variant,anomaly_ratio_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
OCSVM | Warmup 0.20,Warmup 0.20,sparse,114,0.7676368009365063,0.2355132726622602,0.11419012673981764,0.11419012673981764,1.0963437096491504
OCSVM | Baseline,Baseline,sparse,114,0.7752539029889535,0.22756450559877303,0.10603021286358967,0.10603021286358967,0.6150038982465814
OCSVM | Nu 0.10,Nu 0.10,sparse,114,0.7809503746467097,0.21944593559798292,0.09475490181269143,0.09475490181269143,0.9718105131561108
OCSVM | Nu 0.10,Nu 0.10,moderate,36,0.692106979025297,0.3400480858887445,0.33383357188791213,0.33383357188791213,0.585063325000293
OCSVM | Warmup 0.20,Warmup 0.20,moderate,36,0.6849669543964119,0.34486066326736287,0.3260718221915224,0.3260718221915224,0.6724999277794268
OCSVM | Baseline,Baseline,moderate,36,0.6923431902874194,0.353337904718981,0.32090683398703307,0.32090683398703307,0.4071818027813505
