algorithm_display,algorithm_variant,variant,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
Matrix Profile | Subseq x1,Subseq x1,distorted,68,0.9252788938392154,0.34404157631304666,0.21932331486941647,0.21932331486941647,0.43222277206137627
Matrix Profile | Baseline,Baseline,distorted,68,0.9413354539793185,0.32713591795515445,0.21661531376022825,0.21661531376022825,0.44654865147073425
Matrix Profile | Subseq x4,Subseq x4,distorted,68,0.9322930066505006,0.23917793323866937,0.16961062207662472,0.16961062207662472,0.4537165073527242
Matrix Profile | Subseq x1,Subseq x1,noise,12,0.8006667712491987,0.2826641285340537,0.2379039753858345,0.2379039753858345,0.28153244167090935
Matrix Profile | Baseline,Baseline,noise,12,0.8571246173317616,0.2780457977066624,0.2358236584095742,0.2358236584095742,0.28888144166315516
Matrix Profile | Subseq x4,Subseq x4,noise,12,0.8357724009054089,0.24179791858956926,0.19175624596339047,0.19175624596339047,0.28724309166621725
Matrix Profile | Subseq x1,Subseq x1,raw,81,0.9116341334456587,0.3243157831460754,0.215890810489234,0.215890810489234,0.5942774864185291
Matrix Profile | Baseline,Baseline,raw,81,0.9283317588679337,0.311767980738707,0.2030053008831589,0.2030053008831589,0.6043141753093719
Matrix Profile | Subseq x4,Subseq x4,raw,81,0.922197218574256,0.20136412921898633,0.14455094430503201,0.14455094430503201,0.6189812506142325
