algorithm_display,algorithm_variant,anomaly_ratio_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
DAMP | Start x2,Start x2,sparse,125,0.8407976179001156,0.1350260740538239,0.10455020685281018,0.10455020685281018,17.1457930823965
DAMP | x_lag x8,x_lag x8,sparse,125,0.8222105186008417,0.118817547900038,0.10163890694613917,0.10163890694613917,13.858168923198944
DAMP | Baseline,Baseline,sparse,125,0.8225504524001312,0.1176673364580376,0.09804769371792706,0.09804769371792706,14.133896798399277
DAMP | Start x2,Start x2,moderate,36,0.8548796055605696,0.3111516259765821,0.2710908583106721,0.2710908583106721,10.682426930557186
DAMP | x_lag x8,x_lag x8,moderate,36,0.8301282510730449,0.31034365861554103,0.2700468804951985,0.2700468804951985,8.861579169442443
DAMP | Baseline,Baseline,moderate,36,0.8327357948491498,0.3085310568956071,0.2676290867860427,0.2676290867860427,10.08770684166585
