algorithm_display,algorithm_variant,length_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
Matrix Profile | Subseq x1,Subseq x1,medium,84,0.9533003580760813,0.3612924494633508,0.29180168060696293,0.29180168060696293,0.08161252619244065
Matrix Profile | Baseline,Baseline,medium,84,0.951042981903675,0.313814996049589,0.27596426351849124,0.27596426351849124,0.08862695952259288
Matrix Profile | Subseq x4,Subseq x4,medium,84,0.915280060019662,0.24539147289472657,0.20156824286943273,0.20156824286943273,0.08558576190400687
Matrix Profile | Baseline,Baseline,long,77,0.903942445025568,0.3178511527935096,0.1405474866570522,0.1405474866570522,0.9783983013003781
Matrix Profile | Subseq x1,Subseq x1,long,77,0.8609363735943448,0.29490661573514876,0.13954087784926497,0.13954087784926497,0.9616956103890952
Matrix Profile | Subseq x4,Subseq x4,long,77,0.9251901678696373,0.1930296782712365,0.11183754987592742,0.11183754987592742,1.0032196999973522
