algorithm_display,algorithm_variant,variant,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
DAMP | Start x2,Start x2,distorted,56,0.8644385229397494,0.18753908324662977,0.165505702619712,0.165505702619712,9.785039351782741
DAMP | Baseline,Baseline,distorted,56,0.8534123114581073,0.18814792154908785,0.16042541807510874,0.16042541807510874,8.988625667857248
DAMP | x_lag x8,x_lag x8,distorted,56,0.8556896313517551,0.18558628534518337,0.1567899241958933,0.1567899241958933,8.85280036785272
DAMP | x_lag x8,x_lag x8,noise,11,0.7609427526421938,0.18302261157886976,0.1507126633483644,0.1507126633483644,8.807768727277024
DAMP | Baseline,Baseline,noise,11,0.7774101221940185,0.1814956359512895,0.13997792717637034,0.13997792717637034,8.998594181823798
DAMP | Start x2,Start x2,noise,11,0.7429236094806374,0.18077849586624656,0.1345960539731622,0.1345960539731622,9.753815399996132
DAMP | x_lag x8,x_lag x8,raw,60,0.8674328814371222,0.21422852426141356,0.1821492603349721,0.1821492603349721,9.84104047833486
DAMP | Start x2,Start x2,raw,60,0.8725928159545417,0.20432983667622165,0.17752034435578634,0.17752034435578634,10.926326588332207
DAMP | Baseline,Baseline,raw,60,0.8677568246540288,0.20745081774840957,0.1726106613108462,0.1726106613108462,10.566297391663344
