algorithm_display,algorithm_variant,param__whiten,param__weighted,param__standardization,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,median_evaluation_f1,mean_range_f1,success_rate,mean_runtime_seconds
PCA | Weighted off,Weighted off,False,False,True,127,0.5291949299787907,0.1059969017588641,0.08971827427969153,0.0,0.08971827427969153,0.0,0.15829503149647578
PCA | Standardize off,Standardize off,False,True,False,127,0.5282988013659334,0.10655042083638941,0.08861563862807162,0.0,0.08861563862807162,0.0,0.14014770079190533
PCA | Whiten on,Whiten on,True,True,True,127,0.5289055741294555,0.1064172879539763,0.08859461251364238,0.0,0.08859461251364238,0.0,0.15791595275637574
PCA | Baseline,Baseline,False,True,True,127,0.5289055741294555,0.1064172879539763,0.08859461251364238,0.0,0.08859461251364238,0.0,0.15854158031448948
PCA | Components 0.95,Components 0.95,False,True,True,127,0.5258363231164942,0.10571620649746805,0.08820604511230835,0.0,0.08820604511230835,0.0,0.04952604173339796
PCA | Score comps 2,Score comps 2,False,True,True,127,0.5288895876761552,0.1061933767392266,0.08792826261888674,0.0,0.08792826261888674,0.0,0.03703654330731621
