algorithm_display,ablation_parameter,ablation_role,variant,dataset_count,mean_delta_evaluation_f1,mean_delta_roc_auc,mean_runtime_ratio
HBOS | Tol 0.2,tol,score_driver,distorted,68,0.0,0.0,0.9913713482854812
HBOS | Alpha 0.05,alpha,score_driver,distorted,68,-0.002172765777822256,0.0006400062219528399,0.9962726886732975
HBOS | Bins 20,n_bins,score_driver,distorted,68,-0.01154551260424333,0.010572666480883156,0.9980952906688308
HBOS | Bins 20,n_bins,score_driver,noise,12,0.009705522271330695,0.012155640537046373,0.9949319138487666
HBOS | Tol 0.2,tol,score_driver,noise,12,0.0,0.0,0.9935387269260785
HBOS | Alpha 0.05,alpha,score_driver,noise,12,-0.006502705651825365,0.005737074118876792,1.0329740719648413
HBOS | Bins 20,n_bins,score_driver,raw,81,0.0021385406534326266,0.00474820249402874,0.9998916940095928
HBOS | Alpha 0.05,alpha,score_driver,raw,81,0.0008304307211686189,-0.001172897679351543,0.9911793775675943
HBOS | Tol 0.2,tol,score_driver,raw,81,0.0,0.0,0.9951278717318298
