dataset_name,best_algorithm,best_algorithm_base_display,best_algorithm_superfamily,best_algorithm_category,best_algorithm_display,best_algorithm_variant,best_window_size,best_window_stride,best_threshold_method,best_threshold_value,best_evaluation_mode,best_evaluation_f1
004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x4,Context x4,81,1,sigma,3.0,range,0.7584905660377358
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x1,Context x1,24,1,sigma,3.0,range,0.01438848920863309
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x1,Context x1,24,1,sigma,3.0,range,0.12573099415204678
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x4,Context x4,24,1,sigma,3.0,range,0.4385964912280702
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4_4000_5549_5597,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x2,Context x2,24,1,sigma,3.0,range,0.1606334841628959
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x4,Context x4,24,1,sigma,3.0,range,0.27705031013094417
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x4,Context x4,24,1,sigma,3.0,range,0.4066390041493776
011_UCR_Anomaly_DISTORTEDECG1_10000_11800_12100,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Global L1,Global L1,91,1,sigma,3.0,range,0.33909899345255545
012_UCR_Anomaly_DISTORTEDECG2_15000_16000_16100,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x2,Context x2,91,1,sigma,3.0,range,0.19850119872091163
013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x1,Context x1,166,1,sigma,3.0,range,0.6644736842105263
