algorithm_display,algorithm_variant,length_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
OCSVM | Gamma 0.1,Gamma 0.1,medium,84,0.7174639024510645,0.25876240871311973,0.23821345536150784,0.23821345536150784,0.12812992619139893
OCSVM | Train frac 0.20,Train frac 0.20,medium,84,0.7417668082674657,0.22298287411279025,0.21005878689619586,0.21005878689619586,0.15039799047579952
OCSVM | Baseline,Baseline,medium,84,0.7510874714510167,0.22097768382200372,0.20457770343118412,0.20457770343118412,0.10093627857194012
OCSVM | Nu 0.10,Nu 0.10,medium,84,0.7503606575969104,0.21842500288652442,0.19637008547004303,0.19637008547004303,0.13605264524015914
OCSVM | Kernel linear,Kernel linear,medium,84,0.3930422507143943,0.059204479905357266,0.0817213193336884,0.0817213193336884,0.02698540952198003
OCSVM | Gamma 0.1,Gamma 0.1,long,77,0.7233093094155884,0.28698528771548276,0.16808307221446317,0.16808307221446317,1.077385592203687
OCSVM | Train frac 0.20,Train frac 0.20,long,77,0.7450008182330725,0.2805435057364862,0.09546560659461703,0.09546560659461703,2.3332411922025345
OCSVM | Baseline,Baseline,long,77,0.748377679757745,0.2742293525147463,0.0866995859799225,0.0866995859799225,1.2652841415592657
OCSVM | Nu 0.10,Nu 0.10,long,77,0.7578903440746774,0.25646071344660715,0.0832245877469154,0.0832245877469154,2.026158692210523
OCSVM | Kernel linear,Kernel linear,long,77,0.42274314401702656,0.0463116363003938,0.022090062541896476,0.022090062541896476,0.34140457921848905
