dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,variant_origin,variant_source,variant_focus,variant_family,ablation_parameter,ablation_label,ablation_role,window_size,window_stride,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,threshold_method,threshold_value,evaluation_mode,prepared_dataset_dir,runtime_seconds,score_mean,score_std,params_json,error,param__n_estimators,param__max_samples,param__max_features,param__bootstrap,param__random_state,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window,evaluation_precision,evaluation_recall,evaluation_f1,param__n_neighbors,param__algorithm,param__leaf_size,param__metric,param__p,param__alpha,param__init_length,param__batch_size,param__k,param__subsequence_multiplier,param__overlap,param__start_index_multiplier,param__x_lag_multiplier,param__n_bins,param__tol,param__kernel,param__nu,param__gamma,param__train_fraction,param__n_components,param__n_selected_components,param__whiten,param__weighted,param__standardization
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,161,WalkingAceleration,raw,hbos,HBOS,Density-based,Distribution,HBOS | Tol 0.2,Tol 0.2,hbos__tab_04,4,auto,auto_ablation,Measures stricter out-of-range penalties near histogram edges.,ablation,tol,Tol 0.2,score_driver,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,0.3470482000266202,0.5587993481549202,0.17899190100938872,"{""alpha"": 0.1, ""n_bins"": 10, ""tol"": 0.2}",,,,,,,0.0594075346858499,0.018008370489457318,0.0,0.0,0.0,0.0,1.0957750511830864,0,6452,0,232,0.0,0.0,0.0,0.0,0.0,,0.0,115,0.0,0.0,0.0,,,,,,0.1,,,,,,,,10.0,0.2,,,,,,,,,
162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979,162,WalkingAceleration,raw,hbos,HBOS,Density-based,Distribution,HBOS | Baseline,Baseline,hbos__tab_01,1,auto,auto_ablation,Lightweight histogram baseline.,baseline,baseline,Baseline,baseline,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,0.32408219994977117,0.2690077996441075,0.11808323167717279,"{""alpha"": 0.1, ""n_bins"": 10, ""tol"": 0.5}",,,,,,,0.9999924516908214,0.9991665123028004,0.5309734513274337,1.0,0.6936416184971098,0.9833333333333333,0.6232574946756259,60,6571,53,0,0.5309734513274337,1.0,0.6936416184971099,1.0,1.0,0.9938182848487739,1.0,115,0.5309734513274337,1.0,0.6936416184971099,,,,,,0.1,,,,,,,,10.0,0.5,,,,,,,,,
162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979,162,WalkingAceleration,raw,hbos,HBOS,Density-based,Distribution,HBOS | Bins 20,Bins 20,hbos__tab_02,2,auto,auto_ablation,Measures finer histogram resolution at every window position.,ablation,n_bins,Bins 20,score_driver,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,0.32550080004148185,0.2689738393312045,0.12041233181133416,"{""alpha"": 0.1, ""n_bins"": 20, ""tol"": 0.5}",,,,,,,0.9999698067632851,0.9965937012102215,0.5263157894736842,1.0,0.6896551724137931,0.9666666666666667,0.630210834765207,60,6570,54,0,0.5263157894736842,1.0,0.6896551724137931,1.0,1.0,0.9937058385040999,1.0,115,0.5263157894736842,1.0,0.6896551724137931,,,,,,0.1,,,,,,,,20.0,0.5,,,,,,,,,
162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979,162,WalkingAceleration,raw,hbos,HBOS,Density-based,Distribution,HBOS | Alpha 0.05,Alpha 0.05,hbos__tab_03,3,auto,auto_ablation,Measures milder smoothing inside the log-density score.,ablation,alpha,Alpha 0.05,score_driver,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,0.3157800000044517,0.2529336757598322,0.11770241848273925,"{""alpha"": 0.05, ""n_bins"": 10, ""tol"": 0.5}",,,,,,,0.9999974838969403,0.9997267759562842,0.5217391304347826,1.0,0.6857142857142857,0.9833333333333333,0.6060409312080499,60,6569,55,0,0.5217391304347826,1.0,0.6857142857142856,1.0,1.0,0.9936291728462519,1.0,115,0.5217391304347826,1.0,0.6857142857142856,,,,,,0.05,,,,,,,,10.0,0.5,,,,,,,,,
162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979,162,WalkingAceleration,raw,hbos,HBOS,Density-based,Distribution,HBOS | Tol 0.2,Tol 0.2,hbos__tab_04,4,auto,auto_ablation,Measures stricter out-of-range penalties near histogram edges.,ablation,tol,Tol 0.2,score_driver,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,0.3116073000128381,0.2690077996441075,0.11808323167717279,"{""alpha"": 0.1, ""n_bins"": 10, ""tol"": 0.2}",,,,,,,0.9999924516908214,0.9991665123028004,0.5309734513274337,1.0,0.6936416184971098,0.9833333333333333,0.6232574946756259,60,6571,53,0,0.5309734513274337,1.0,0.6936416184971099,1.0,1.0,0.9938182848487739,1.0,115,0.5309734513274337,1.0,0.6936416184971099,,,,,,0.1,,,,,,,,10.0,0.2,,,,,,,,,
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,32,InternalBleeding,distorted,hbos,HBOS,Density-based,Distribution,HBOS | Baseline,Baseline,hbos__tab_01,1,auto,auto_ablation,Lightweight histogram baseline.,baseline,baseline,Baseline,baseline,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,0.6675849999883212,0.41241848979006956,0.16830444179595144,"{""alpha"": 0.1, ""n_bins"": 10, ""tol"": 0.5}",,,,,,,0.8719707220814306,0.3553522004360817,1.0,0.0807799442896936,0.14948453608247422,0.3732590529247911,0.917331815177924,29,6962,0,330,1.0,0.2646239554317549,0.4185022026431718,1.0,0.0807799442896936,1.0,0.9792796621616222,178,1.0,0.2646239554317549,0.4185022026431718,,,,,,0.1,,,,,,,,10.0,0.5,,,,,,,,,
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,32,InternalBleeding,distorted,hbos,HBOS,Density-based,Distribution,HBOS | Bins 20,Bins 20,hbos__tab_02,2,auto,auto_ablation,Measures finer histogram resolution at every window position.,ablation,n_bins,Bins 20,score_driver,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,0.6476280000060797,0.36198964977545184,0.1696895700522794,"{""alpha"": 0.1, ""n_bins"": 20, ""tol"": 0.5}",,,,,,,0.8469066856368717,0.23339427621725217,0.3582089552238806,0.06685236768802229,0.11267605633802817,0.3370473537604457,0.8710583599322901,24,6919,43,335,0.5,0.25348189415041783,0.33641404805914976,1.0,0.06685236768802229,0.4179522412524184,0.9786453971651742,178,0.5,0.25348189415041783,0.33641404805914976,,,,,,0.1,,,,,,,,20.0,0.5,,,,,,,,,
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,32,InternalBleeding,distorted,hbos,HBOS,Density-based,Distribution,HBOS | Alpha 0.05,Alpha 0.05,hbos__tab_03,3,auto,auto_ablation,Measures milder smoothing inside the log-density score.,ablation,alpha,Alpha 0.05,score_driver,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,0.6032710000290535,0.40253885814296814,0.1703799545404631,"{""alpha"": 0.05, ""n_bins"": 10, ""tol"": 0.5}",,,,,,,0.8672459087493667,0.34880802716775394,0.9666666666666667,0.0807799442896936,0.14910025706940874,0.37047353760445684,0.9136787217643574,29,6961,1,330,0.5,0.2646239554317549,0.3460837887067395,1.0,0.0807799442896936,0.9697104220734872,0.9792796621616222,178,0.5,0.2646239554317549,0.3460837887067395,,,,,,0.05,,,,,,,,10.0,0.5,,,,,,,,,
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,32,InternalBleeding,distorted,hbos,HBOS,Density-based,Distribution,HBOS | Tol 0.2,Tol 0.2,hbos__tab_04,4,auto,auto_ablation,Measures stricter out-of-range penalties near histogram edges.,ablation,tol,Tol 0.2,score_driver,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,0.6013782999943942,0.41241848979006956,0.16830444179595144,"{""alpha"": 0.1, ""n_bins"": 10, ""tol"": 0.2}",,,,,,,0.8719707220814306,0.3553522004360817,1.0,0.0807799442896936,0.14948453608247422,0.3732590529247911,0.917331815177924,29,6962,0,330,1.0,0.2646239554317549,0.4185022026431718,1.0,0.0807799442896936,1.0,0.9792796621616222,178,1.0,0.2646239554317549,0.4185022026431718,,,,,,0.1,,,,,,,,10.0,0.2,,,,,,,,,
140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,140,InternalBleeding,raw,hbos,HBOS,Density-based,Distribution,HBOS | Baseline,Baseline,hbos__tab_01,1,auto,auto_ablation,Lightweight histogram baseline.,baseline,baseline,Baseline,baseline,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,0.5538746000383981,0.3591002569036026,0.1539980073323771,"{""alpha"": 0.1, ""n_bins"": 10, ""tol"": 0.5}",,,,,,,0.7945344364432785,0.38345940276808627,1.0,0.11977715877437325,0.21393034825870647,0.3203342618384401,0.8210942789007338,43,6962,0,316,1.0,0.2958217270194986,0.45657781599312125,1.0,0.11977715877437325,1.0,0.9809271531242022,178,1.0,0.2958217270194986,0.45657781599312125,,,,,,0.1,,,,,,,,10.0,0.5,,,,,,,,,
