dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,window_size,window_stride,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,threshold_method,threshold_value,evaluation_mode,prepared_dataset_dir,runtime_seconds,score_mean,score_std,params_json,error,param__n_estimators,param__max_samples,param__max_features,param__bootstrap,param__random_state,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window,evaluation_precision,evaluation_recall,evaluation_f1,param__n_neighbors,param__algorithm,param__leaf_size,param__metric,param__p,param__subsequence_multiplier,param__kernel,param__nu,param__gamma,param__train_fraction
162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979,162,WalkingAceleration,raw,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Warmup 0.20,Warmup 0.20,ocsvm__tab_03,3,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,0.15358799998648465,0.3856025766280071,0.16945564960063594,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.2}",,,,,,,0.968900966183575,0.12067421473867139,0.06896551724137931,0.03333333333333333,0.0449438202247191,0.03333333333333333,0.8939695254299149,2,6597,27,58,0.08333333333333333,0.22666666666666668,0.12186379928315412,1.0,0.03333333333333333,0.9877061020656638,0.9916118092958308,115,0.08333333333333333,0.22666666666666668,0.12186379928315412,,,,,,,rbf,0.05,scale,0.2
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,32,InternalBleeding,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,ocsvm__tab_01,1,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,0.09620859997812659,0.2145079546950412,0.11918234825224437,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.7672678343798688,0.6197559973972685,1.0,0.5236768802228412,0.6873857404021938,0.5598885793871866,0.5720549994517743,188,6962,0,171,1.0,0.618941504178273,0.7646249139710943,1.0,0.5236768802228412,1.0,0.9893826246395401,178,1.0,0.618941504178273,0.7646249139710943,,,,,,,rbf,0.05,scale,0.1
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,32,InternalBleeding,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Nu 0.10,Nu 0.10,ocsvm__tab_02,2,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,0.12100730004021898,0.20953796603043187,0.11950118636972198,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.09999999999999999, ""train_fraction"": 0.1}",,,,,,,0.7666540767669139,0.620220613300302,1.0,0.5236768802228412,0.6873857404021938,0.5571030640668524,0.5680415251395978,188,6962,0,171,1.0,0.618941504178273,0.7646249139710943,1.0,0.5236768802228412,1.0,0.9893826246395401,178,1.0,0.618941504178273,0.7646249139710943,,,,,,,rbf,0.09999999999999999,scale,0.1
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,32,InternalBleeding,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Warmup 0.20,Warmup 0.20,ocsvm__tab_03,3,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,0.12981569999828935,0.19566698987025255,0.11883882724987405,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.2}",,,,,,,0.7850347969358532,0.6135755145386346,1.0,0.520891364902507,0.684981684981685,0.5571030640668524,0.5521834716198747,187,6962,0,172,1.0,0.6167130919220056,0.7629221226740179,1.0,0.520891364902507,1.0,0.9893792002934285,178,1.0,0.6167130919220056,0.7629221226740179,,,,,,,rbf,0.05,scale,0.2
140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,140,InternalBleeding,raw,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,ocsvm__tab_01,1,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0867877000127919,0.13134196416279428,0.1175535613652824,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.8244817269074698,0.714440660959394,1.0,0.532033426183844,0.6945454545454546,0.713091922005571,0.4840026482586415,191,6962,0,168,1.0,0.6256267409470753,0.7697052775873887,1.0,0.532033426183844,1.0,0.9895138912404845,178,1.0,0.6256267409470753,0.7697052775873887,,,,,,,rbf,0.05,scale,0.1
140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,140,InternalBleeding,raw,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Nu 0.10,Nu 0.10,ocsvm__tab_02,2,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,0.11696310003753752,0.12249259176980591,0.1187227790193572,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.09999999999999999, ""train_fraction"": 0.1}",,,,,,,0.8247245892745256,0.7149593465290578,1.0,0.532033426183844,0.6945454545454546,0.713091922005571,0.47866092882787753,191,6962,0,168,1.0,0.6256267409470753,0.7697052775873887,1.0,0.532033426183844,1.0,0.9895138912404845,178,1.0,0.6256267409470753,0.7697052775873887,,,,,,,rbf,0.09999999999999999,scale,0.1
140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,140,InternalBleeding,raw,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Warmup 0.20,Warmup 0.20,ocsvm__tab_03,3,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,0.11707179999211803,0.12643430300619102,0.11676312310785966,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.2}",,,,,,,0.8310070025982672,0.7175035330788668,1.0,0.5292479108635098,0.692167577413479,0.713091922005571,0.47672367232977003,190,6962,0,169,1.0,0.6233983286908078,0.7680164722031572,1.0,0.5292479108635098,1.0,0.9895119888259781,178,1.0,0.6233983286908078,0.7680164722031572,,,,,,,rbf,0.05,scale,0.2
141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,141,InternalBleeding,raw,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,ocsvm__tab_01,1,173,1,7415,171,4000,6200,6370,zscore,sigma,3.0,range,datasets\normalized\zscore,0.1091255999635905,0.16493921194156552,0.0748471812233845,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.837808099302185,0.7196425016480987,1.0,0.6432748538011696,0.7829181494661922,0.7134502923976608,0.389480755611719,110,7244,0,61,1.0,0.7146198830409356,0.8335607094133697,1.0,0.6432748538011696,1.0,0.9973398319354241,173,1.0,0.7146198830409356,0.8335607094133697,,,,,,,rbf,0.05,scale,0.1
141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,141,InternalBleeding,raw,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Nu 0.10,Nu 0.10,ocsvm__tab_02,2,173,1,7415,171,4000,6200,6370,zscore,sigma,3.0,range,datasets\normalized\zscore,0.1471396000124514,0.16016710994367403,0.07516186677626932,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.09999999999999999, ""train_fraction"": 0.1}",,,,,,,0.8367642832463082,0.7195950036443741,1.0,0.6432748538011696,0.7829181494661922,0.7134502923976608,0.385652710272482,110,7244,0,61,1.0,0.7146198830409356,0.8335607094133697,1.0,0.6432748538011696,1.0,0.9973398319354241,173,1.0,0.7146198830409356,0.8335607094133697,,,,,,,rbf,0.09999999999999999,scale,0.1
141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,141,InternalBleeding,raw,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Warmup 0.20,Warmup 0.20,ocsvm__tab_03,3,173,1,7415,171,4000,6200,6370,zscore,sigma,3.0,range,datasets\normalized\zscore,0.152143299987074,0.1618809961500267,0.0750104919638925,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.2}",,,,,,,0.8455693116465006,0.7228271792182883,1.0,0.6432748538011696,0.7829181494661922,0.7192982456140351,0.3869124720417042,110,7244,0,61,1.0,0.7146198830409356,0.8335607094133697,1.0,0.6432748538011696,1.0,0.9973398319354241,173,1.0,0.7146198830409356,0.8335607094133697,,,,,,,rbf,0.05,scale,0.2
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,33,InternalBleeding,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,ocsvm__tab_01,1,173,1,7415,171,4000,6200,6370,zscore,sigma,3.0,range,datasets\normalized\zscore,0.10646760003874078,0.1911960405838296,0.09937780678546639,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.8746048352982585,0.6706986972895729,0.9363636363636364,0.6023391812865497,0.7330960854092526,0.6549707602339181,0.4893294609402288,103,7237,7,68,0.5,0.6818713450292397,0.5769421078673924,1.0,0.6023391812865497,0.9820290565806412,0.9967570082770424,173,0.5,0.6818713450292397,0.5769421078673924,,,,,,,rbf,0.05,scale,0.1
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,33,InternalBleeding,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Nu 0.10,Nu 0.10,ocsvm__tab_02,2,173,1,7415,171,4000,6200,6370,zscore,sigma,3.0,range,datasets\normalized\zscore,0.13046570000005886,0.1887892408752923,0.09861105305789458,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.09999999999999999, ""train_fraction"": 0.1}",,,,,,,0.8708057646416797,0.6697206369227775,0.9363636363636364,0.6023391812865497,0.7330960854092526,0.6549707602339181,0.48462240004897605,103,7237,7,68,0.5,0.6818713450292397,0.5769421078673924,1.0,0.6023391812865497,0.9820290565806412,0.9967570082770424,173,0.5,0.6818713450292397,0.5769421078673924,,,,,,,rbf,0.09999999999999999,scale,0.1
