dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,variant_origin,variant_source,variant_focus,variant_family,ablation_parameter,ablation_label,ablation_role,window_size,window_stride,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,threshold_method,threshold_value,evaluation_mode,prepared_dataset_dir,runtime_seconds,score_mean,score_std,params_json,error,param__n_estimators,param__max_samples,param__max_features,param__bootstrap,param__random_state,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window,evaluation_precision,evaluation_recall,evaluation_f1,param__n_neighbors,param__algorithm,param__leaf_size,param__metric,param__p,param__alpha,param__init_length,param__batch_size,param__k,param__subsequence_multiplier,param__overlap,param__start_index_multiplier,param__x_lag_multiplier,param__n_bins,param__tol,param__kernel,param__nu,param__gamma,param__train_fraction,param__n_components,param__n_selected_components,param__whiten,param__weighted,param__standardization
054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979,54,WalkingAceleration,distorted,sand,SAND,Distance-based,Clustering,SAND | k = 3,k = 3,sand__tab_05,5,auto,auto_ablation,Measures a more local nearest-subsequence comparison.,ablation,k,k = 3,score_driver,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,3.644187800004147,0.3400608176773601,0.23717305101597091,"{""alpha"": 0.5, ""batch_size"": 2000, ""init_length"": 5000, ""k"": 3, ""overlap"": null, ""subsequence_multiplier"": 4}",,,,,,,0.9986186594202899,0.8858514229728468,0.0,0.0,0.0,0.7166666666666667,1.0515799707252729,0,6624,0,60,0.0,0.0,0.0,0.0,0.0,,0.0,115,0.0,0.0,0.0,,,,,,0.5,5000.0,2000.0,3.0,4.0,,,,,,,,,,,,,,
054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979,54,WalkingAceleration,distorted,sand,SAND,Distance-based,Clustering,SAND | Subseq x2,Subseq x2,sand__tab_06,6,auto,auto_ablation,Measures a shorter subsequence context while keeping the rest of SAND fixed.,ablation,subsequence_multiplier,Subseq x2,score_driver,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,1.2814694999833591,0.30002905848328315,0.2290399474704168,"{""alpha"": 0.5, ""batch_size"": 2000, ""init_length"": 5000, ""k"": null, ""overlap"": null, ""subsequence_multiplier"": 2}",,,,,,,1.0,1.0,1.0,0.31666666666666665,0.4810126582278481,1.0,0.9871489008945336,19,6624,0,41,1.0,0.45333333333333337,0.6238532110091743,1.0,0.31666666666666665,1.0,0.9977533413125873,115,1.0,0.45333333333333337,0.6238532110091743,,,,,,0.5,5000.0,2000.0,,2.0,,,,,,,,,,,,,,
054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979,54,WalkingAceleration,distorted,sand,SAND,Distance-based,Clustering,SAND | Overlap 64,Overlap 64,sand__tab_07,7,auto,auto_ablation,Measures a coarser explicit subsequence step rather than the auto overlap heuristic.,ablation,overlap,Overlap 64,score_driver,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,4.270491299976129,0.3191407783326131,0.22424822679529627,"{""alpha"": 0.5, ""batch_size"": 2000, ""init_length"": 5000, ""k"": null, ""overlap"": 64, ""subsequence_multiplier"": 4}",,,,,,,0.9975140901771337,0.8022601565353167,1.0,0.23333333333333334,0.3783783783783784,0.6,0.9918854587185019,14,6624,0,46,1.0,0.3866666666666667,0.5576923076923077,1.0,0.23333333333333334,1.0,0.9971823259525235,115,1.0,0.3866666666666667,0.5576923076923077,,,,,,0.5,5000.0,2000.0,,4.0,64.0,,,,,,,,,,,,,
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,161,WalkingAceleration,raw,sand,SAND,Distance-based,Clustering,SAND | Baseline,Baseline,sand__tab_01,1,auto,auto_ablation,Reference online clustering configuration.,baseline,baseline,Baseline,baseline,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,3.504092200018931,0.31408296655522155,0.23850543281946704,"{""alpha"": 0.5, ""batch_size"": 2000, ""init_length"": 5000, ""k"": null, ""overlap"": null, ""subsequence_multiplier"": 4}",,,,,,,0.5826100433973962,0.0378466127578046,0.0,0.0,0.0,0.0,1.0295992650136228,0,6452,0,232,0.0,0.0,0.0,0.0,0.0,,0.0,115,0.0,0.0,0.0,,,,,,0.5,5000.0,2000.0,,4.0,,,,,,,,,,,,,,
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,161,WalkingAceleration,raw,sand,SAND,Distance-based,Clustering,SAND | Alpha 0.7,Alpha 0.7,sand__tab_02,2,auto,auto_ablation,Measures faster adaptation to recent behavior in the online updates.,ablation,alpha,Alpha 0.7,score_driver,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,4.848196499980986,0.36602951980467147,0.22929342353042995,"{""alpha"": 0.7, ""batch_size"": 2000, ""init_length"": 5000, ""k"": null, ""overlap"": null, ""subsequence_multiplier"": 4}",,,,,,,0.5246448575154457,0.03426245771545393,0.0,0.0,0.0,0.0,1.0539097903959613,0,6452,0,232,0.0,0.0,0.0,0.0,0.0,,0.0,115,0.0,0.0,0.0,,,,,,0.7,5000.0,2000.0,,4.0,,,,,,,,,,,,,,
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,161,WalkingAceleration,raw,sand,SAND,Distance-based,Clustering,SAND | Init 3000,Init 3000,sand__tab_03,3,auto,auto_ablation,Measures a shorter initialization phase before online updates take over.,ablation,init_length,Init 3000,score_driver,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,4.4573500999831595,0.34470273212126423,0.24174286605699555,"{""alpha"": 0.5, ""batch_size"": 2000, ""init_length"": 3000, ""k"": null, ""overlap"": null, ""subsequence_multiplier"": 4}",,,,,,,0.6681662462321226,0.04741819617518446,0.0,0.0,0.0,0.0,1.0699313302922508,0,6452,0,232,0.0,0.0,0.0,0.0,0.0,,0.0,115,0.0,0.0,0.0,,,,,,0.5,3000.0,2000.0,,4.0,,,,,,,,,,,,,,
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,161,WalkingAceleration,raw,sand,SAND,Distance-based,Clustering,SAND | Batch 1000,Batch 1000,sand__tab_04,4,auto,auto_ablation,Measures finer-grained online updates at the cost of more update steps.,ablation,batch_size,Batch 1000,score_driver,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,1.8972444999963045,0.32350005273786214,0.22165395648814495,"{""alpha"": 0.5, ""batch_size"": 1000, ""init_length"": 5000, ""k"": null, ""overlap"": null, ""subsequence_multiplier"": 4}",,,,,,,0.47592032409089935,0.03242245910993016,0.0,0.0,0.0,0.0,0.988461922202297,0,6433,19,232,0.0,0.0,0.0,0.0,0.0,0.6428785158587672,0.6457211250748054,115,0.0,0.0,0.0,,,,,,0.5,5000.0,1000.0,,4.0,,,,,,,,,,,,,,
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,161,WalkingAceleration,raw,sand,SAND,Distance-based,Clustering,SAND | k = 3,k = 3,sand__tab_05,5,auto,auto_ablation,Measures a more local nearest-subsequence comparison.,ablation,k,k = 3,score_driver,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,4.615341899974737,0.31356911335627163,0.22583892238304742,"{""alpha"": 0.5, ""batch_size"": 2000, ""init_length"": 5000, ""k"": 3, ""overlap"": null, ""subsequence_multiplier"": 4}",,,,,,,0.5042315133505783,0.032462328294403105,0.0,0.0,0.0,0.0,0.9910858805054139,0,6434,18,232,0.0,0.0,0.0,0.0,0.0,0.6430281268701377,0.6457211250748054,115,0.0,0.0,0.0,,,,,,0.5,5000.0,2000.0,3.0,4.0,,,,,,,,,,,,,,
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,161,WalkingAceleration,raw,sand,SAND,Distance-based,Clustering,SAND | Subseq x2,Subseq x2,sand__tab_06,6,auto,auto_ablation,Measures a shorter subsequence context while keeping the rest of SAND fixed.,ablation,subsequence_multiplier,Subseq x2,score_driver,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,3.1946454999851994,0.3019557633299848,0.22683597108489556,"{""alpha"": 0.5, ""batch_size"": 2000, ""init_length"": 5000, ""k"": null, ""overlap"": null, ""subsequence_multiplier"": 2}",,,,,,,0.5009045577954978,0.03197713051331916,0.0,0.0,0.0,0.0,0.9824636765846715,0,6419,33,232,0.0,0.0,0.0,0.0,0.0,0.41096104673303957,0.6457211250748054,115,0.0,0.0,0.0,,,,,,0.5,5000.0,2000.0,,2.0,,,,,,,,,,,,,,
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,161,WalkingAceleration,raw,sand,SAND,Distance-based,Clustering,SAND | Overlap 64,Overlap 64,sand__tab_07,7,auto,auto_ablation,Measures a coarser explicit subsequence step rather than the auto overlap heuristic.,ablation,overlap,Overlap 64,score_driver,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,29.9806213999982,0.2643469841798111,0.18982725923846253,"{""alpha"": 0.5, ""batch_size"": 2000, ""init_length"": 5000, ""k"": null, ""overlap"": 64, ""subsequence_multiplier"": 4}",,,,,,,0.6407121822690638,0.04346498790305738,0.0,0.0,0.0,0.0,0.8338287618951987,0,6383,69,232,0.0,0.0,0.0,0.0,0.0,0.1333782166367445,0.14721723518850993,115,0.0,0.0,0.0,,,,,,0.5,5000.0,2000.0,,4.0,64.0,,,,,,,,,,,,,
162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979,162,WalkingAceleration,raw,sand,SAND,Distance-based,Clustering,SAND | Baseline,Baseline,sand__tab_01,1,auto,auto_ablation,Reference online clustering configuration.,baseline,baseline,Baseline,baseline,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,12.328980200050864,0.2984865070432462,0.2412135864507258,"{""alpha"": 0.5, ""batch_size"": 2000, ""init_length"": 5000, ""k"": null, ""overlap"": null, ""subsequence_multiplier"": 4}",,,,,,,0.9997081320450886,0.973860562949109,0.0,0.0,0.0,0.8833333333333333,1.0221272663954237,0,6624,0,60,0.0,0.0,0.0,0.0,0.0,,0.0,115,0.0,0.0,0.0,,,,,,0.5,5000.0,2000.0,,4.0,,,,,,,,,,,,,,
