dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,variant_origin,variant_source,variant_focus,variant_family,ablation_parameter,ablation_label,ablation_role,window_size,window_stride,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,threshold_method,threshold_value,evaluation_mode,prepared_dataset_dir,runtime_seconds,score_mean,score_std,params_json,error,param__n_estimators,param__max_samples,param__max_features,param__bootstrap,param__random_state,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window,evaluation_precision,evaluation_recall,evaluation_f1,param__n_neighbors,param__algorithm,param__leaf_size,param__metric,param__p,param__alpha,param__init_length,param__batch_size,param__k,param__subsequence_multiplier,param__overlap,param__start_index_multiplier,param__x_lag_multiplier,param__n_bins,param__tol,param__kernel,param__nu,param__gamma,param__train_fraction,param__n_components,param__n_selected_components,param__whiten,param__weighted,param__standardization
162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979,162,WalkingAceleration,raw,damp,DAMP,Distance-based,Discord,DAMP | x_lag x8,x_lag x8,damp__tab_03,3,auto,auto_ablation,Measures a much deeper historical search horizon during backward matching.,ablation,x_lag_multiplier,x_lag x8,score_driver,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,7.242010100046173,0.48283020130460935,0.1935211742754351,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": 8.0}",,,,,,,0.9878648349436393,0.24782723386781122,0.0,0.0,0.0,0.05,1.0633937241309146,0,6624,0,60,0.0,0.0,0.0,0.0,0.0,,0.0,115,0.0,0.0,0.0,,,,,,,,,,,,1.0,8.0,,,,,,,,,,,
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,32,InternalBleeding,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,auto,auto_ablation,Reference streaming-discord configuration.,baseline,baseline,Baseline,baseline,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,22.009538599988446,0.1594140263101614,0.14646794540204813,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": null}",,,,,,,0.846856272690827,0.7409328003040272,1.0,0.6016713091922006,0.7513043478260869,0.7186629526462396,0.5988178625163059,216,6962,0,143,1.0,0.44066852367688025,0.6117556071152359,1.0,0.3008356545961003,1.0,0.9958744239013271,178,1.0,0.44066852367688025,0.6117556071152359,,,,,,,,,,,,1.0,,,,,,,,,,,,
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,32,InternalBleeding,distorted,damp,DAMP,Distance-based,Discord,DAMP | Start x2,Start x2,damp__tab_02,2,auto,auto_ablation,Measures the effect of waiting longer before the backward search begins.,ablation,start_index_multiplier,Start x2,score_driver,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,24.221406299970113,0.15725820058662576,0.1481289746200501,"{""start_index_multiplier"": 2.0, ""x_lag_multiplier"": null}",,,,,,,0.846856272690827,0.7409328003040272,1.0,0.5988857938718662,0.7491289198606271,0.7186629526462396,0.601645124446776,215,6962,0,144,1.0,0.4395543175487465,0.6106811145510835,1.0,0.2994428969359331,1.0,0.995867955692005,178,1.0,0.4395543175487465,0.6106811145510835,,,,,,,,,,,,2.0,,,,,,,,,,,,
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,32,InternalBleeding,distorted,damp,DAMP,Distance-based,Discord,DAMP | x_lag x8,x_lag x8,damp__tab_03,3,auto,auto_ablation,Measures a much deeper historical search horizon during backward matching.,ablation,x_lag_multiplier,x_lag x8,score_driver,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,42.64612529997248,0.1588957302140193,0.14655879404434355,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": 8.0}",,,,,,,0.7923602781194211,0.7355530928487765,1.0,0.6016713091922006,0.7513043478260869,0.7186629526462396,0.5985721123470499,216,6962,0,143,1.0,0.44066852367688025,0.6117556071152359,1.0,0.3008356545961003,1.0,0.9958744239013271,178,1.0,0.44066852367688025,0.6117556071152359,,,,,,,,,,,,1.0,8.0,,,,,,,,,,,
140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,140,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,auto,auto_ablation,Reference streaming-discord configuration.,baseline,baseline,Baseline,baseline,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,16.44628809997812,0.09050886429698365,0.15275347730541383,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": null}",,,,,,,0.8570384874835857,0.7523664729138039,1.0,0.649025069637883,0.7871621621621622,0.7298050139275766,0.5487692962132251,233,6962,0,126,1.0,0.4596100278551532,0.6297709923664122,1.0,0.3245125348189415,1.0,0.9962950477487017,178,1.0,0.4596100278551532,0.6297709923664122,,,,,,,,,,,,1.0,,,,,,,,,,,,
140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,140,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | Start x2,Start x2,damp__tab_02,2,auto,auto_ablation,Measures the effect of waiting longer before the backward search begins.,ablation,start_index_multiplier,Start x2,score_driver,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,23.97172580001643,0.08891775052820314,0.1532108588856726,"{""start_index_multiplier"": 2.0, ""x_lag_multiplier"": null}",,,,,,,0.8556901412282674,0.7522160086326909,1.0,0.649025069637883,0.7871621621621622,0.7298050139275766,0.5485503271852209,233,6962,0,126,1.0,0.4596100278551532,0.6297709923664122,1.0,0.3245125348189415,1.0,0.9962950477487017,178,1.0,0.4596100278551532,0.6297709923664122,,,,,,,,,,,,2.0,,,,,,,,,,,,
140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,140,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | x_lag x8,x_lag x8,damp__tab_03,3,auto,auto_ablation,Measures a much deeper historical search horizon during backward matching.,ablation,x_lag_multiplier,x_lag x8,score_driver,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,39.915290000033565,0.08972432812035039,0.15357213724169014,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": 8.0}",,,,,,,0.9051720481819732,0.7619061404455518,1.0,0.649025069637883,0.7871621621621622,0.7298050139275766,0.5504407398454207,233,6962,0,126,1.0,0.4596100278551532,0.6297709923664122,1.0,0.3245125348189415,1.0,0.9962950477487017,178,1.0,0.4596100278551532,0.6297709923664122,,,,,,,,,,,,1.0,8.0,,,,,,,,,,,
141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,141,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,auto,auto_ablation,Reference streaming-discord configuration.,baseline,baseline,Baseline,baseline,173,1,7415,171,4000,6200,6370,zscore,sigma,3.0,range,datasets\normalized\zscore,24.218317299964838,0.13887445677991703,0.1865080095420429,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": null}",,,,,,,0.9699594098443236,0.26851276527337237,0.3047945205479452,0.52046783625731,0.38444924406047515,0.011695906432748537,0.6983984854060458,89,7041,203,82,0.5,0.616374269005848,0.5521215295966475,1.0,0.52046783625731,0.9578095123731052,0.9972952723458455,173,0.5,0.616374269005848,0.5521215295966475,,,,,,,,,,,,1.0,,,,,,,,,,,,
141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,141,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | Start x2,Start x2,damp__tab_02,2,auto,auto_ablation,Measures the effect of waiting longer before the backward search begins.,ablation,start_index_multiplier,Start x2,score_driver,173,1,7415,171,4000,6200,6370,zscore,sigma,3.0,range,datasets\normalized\zscore,23.51702570001362,0.13779234377025737,0.18715972441368756,"{""start_index_multiplier"": 2.0, ""x_lag_multiplier"": null}",,,,,,,0.9699594098443235,0.26851276527337237,0.3047945205479452,0.52046783625731,0.38444924406047515,0.011695906432748537,0.6992715170113201,89,7041,203,82,0.5,0.616374269005848,0.5521215295966475,1.0,0.52046783625731,0.9578095123731052,0.9972952723458455,173,0.5,0.616374269005848,0.5521215295966475,,,,,,,,,,,,2.0,,,,,,,,,,,,
141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,141,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | x_lag x8,x_lag x8,damp__tab_03,3,auto,auto_ablation,Measures a much deeper historical search horizon during backward matching.,ablation,x_lag_multiplier,x_lag x8,score_driver,173,1,7415,171,4000,6200,6370,zscore,sigma,3.0,range,datasets\normalized\zscore,20.93096859997604,0.13787413696396328,0.1864715497973689,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": 8.0}",,,,,,,0.970262140718998,0.27049005681402477,0.3047945205479452,0.52046783625731,0.38444924406047515,0.011695906432748537,0.69728878635607,89,7041,203,82,0.5,0.616374269005848,0.5521215295966475,1.0,0.52046783625731,0.9578095123731052,0.9972952723458455,173,0.5,0.616374269005848,0.5521215295966475,,,,,,,,,,,,1.0,8.0,,,,,,,,,,,
