dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,window_size,window_stride,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,threshold_method,threshold_value,evaluation_mode,prepared_dataset_dir,runtime_seconds,score_mean,score_std,params_json,error,param__n_estimators,param__max_samples,param__max_features,param__bootstrap,param__random_state,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window,evaluation_precision,evaluation_recall,evaluation_f1,param__n_neighbors,param__algorithm,param__leaf_size,param__metric,param__p,param__subsequence_multiplier,param__kernel,param__nu,param__gamma,param__train_fraction
162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979,162,WalkingAceleration,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Local k10,Local k10,local_outlier_factor__tab_02,2,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,0.10835420002695173,0.15261510101840534,0.12437416052186964,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 10, ""p"": 2}",,,,,,,0.35025412640901776,0.006386530315748648,0.0,0.0,0.0,0.0,0.5257375825840143,0,6504,120,60,0.0,0.0,0.0,0.0,0.0,0.7919621484141233,0.9826451226810293,115,0.0,0.0,0.0,10.0,auto,30.0,minkowski,2.0,,,,,
162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979,162,WalkingAceleration,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Global L1,Global L1,local_outlier_factor__tab_03,3,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,1.2285370000172406,0.10923367913004838,0.1503849744352837,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""manhattan"", ""n_neighbors"": 50, ""p"": 1}",,,,,,,0.9448495370370371,0.07138706234286253,0.007633587786259542,0.03333333333333333,0.012422360248447204,0.0,0.5603886024358995,2,6364,260,58,0.16666666666666666,0.22666666666666668,0.192090395480226,1.0,0.03333333333333333,0.7714380587571551,0.9954730201476162,115,0.16666666666666666,0.22666666666666668,0.192090395480226,50.0,auto,30.0,manhattan,1.0,,,,,
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,32,InternalBleeding,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,0.25425519997952506,0.087189159711512,0.0993055018480604,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 20, ""p"": 2}",,,,,,,0.5588971247816439,0.22435356332069162,0.5517241379310345,0.22284122562674094,0.31746031746031744,0.233983286908078,0.38510566525569323,80,6897,65,279,0.5723684210526316,0.2891364902506964,0.38419420300953405,1.0,0.11142061281337047,0.9740378410712687,0.9900910838017395,178,0.5723684210526316,0.2891364902506964,0.38419420300953405,20.0,auto,30.0,minkowski,2.0,,,,,
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,32,InternalBleeding,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Local k10,Local k10,local_outlier_factor__tab_02,2,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,0.1615493999561295,0.13451510275063985,0.11222796206557188,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 10, ""p"": 2}",,,,,,,0.4713386397626911,0.1111546691123202,0.2517985611510791,0.09749303621169916,0.14056224899598393,0.1615598885793872,0.47119898894735546,35,6858,104,324,0.2857142857142857,0.23899721448467967,0.26027605035643864,1.0,0.04874651810584958,0.33295860238458597,0.9823876367407987,178,0.2857142857142857,0.23899721448467967,0.26027605035643864,10.0,auto,30.0,minkowski,2.0,,,,,
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,32,InternalBleeding,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Global L1,Global L1,local_outlier_factor__tab_03,3,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,2.199063100037165,0.06186560958274648,0.10819026261328789,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""manhattan"", ""n_neighbors"": 50, ""p"": 1}",,,,,,,0.9164813524112991,0.6724556137277992,0.8253968253968254,0.43454038997214484,0.5693430656934306,0.6601671309192201,0.38643639742261016,156,6929,33,203,0.9487577639751553,0.24966175885395941,0.3953015243296609,1.0,0.06207719856744926,0.9906509432530468,0.9910822417595965,178,0.9487577639751553,0.24966175885395941,0.3953015243296609,50.0,auto,30.0,manhattan,1.0,,,,,
140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,140,InternalBleeding,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,0.14737580000655726,0.030206293814758797,0.08615646259646603,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 20, ""p"": 2}",,,,,,,0.6641069426628758,0.2164802421458713,0.5347222222222222,0.21448467966573817,0.3061630218687873,0.24233983286908078,0.2886756816041569,77,6895,67,282,0.564935064935065,0.2857938718662953,0.3795685619155749,1.0,0.10724233983286909,0.972926057460274,0.9898861937593955,178,0.564935064935065,0.2857938718662953,0.3795685619155749,20.0,auto,30.0,minkowski,2.0,,,,,
140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,140,InternalBleeding,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Local k10,Local k10,local_outlier_factor__tab_02,2,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,0.17269789997953922,0.05182042911628099,0.07438509048735309,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 10, ""p"": 2}",,,,,,,0.6073359638755234,0.17869022748223123,0.281767955801105,0.14206128133704735,0.18888888888888888,0.14484679665738162,0.27497570057834025,51,6832,130,308,0.1111111111111111,0.3136490250696379,0.16409210142815506,1.0,0.14206128133704735,0.8508762728275052,0.9877240996728227,178,0.1111111111111111,0.3136490250696379,0.16409210142815506,10.0,auto,30.0,minkowski,2.0,,,,,
140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,140,InternalBleeding,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Global L1,Global L1,local_outlier_factor__tab_03,3,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,2.2306346999830566,0.031333888303348975,0.08469735954099077,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""manhattan"", ""n_neighbors"": 50, ""p"": 1}",,,,,,,0.8983975084801776,0.5922833641355072,0.6802325581395349,0.32590529247910865,0.4406779661016949,0.6685236768802229,0.2854259669263213,117,6907,55,242,0.6875,0.3303621169916435,0.44627646837478196,1.0,0.16295264623955433,0.9819172625419706,0.9908250353183253,178,0.6875,0.3303621169916435,0.44627646837478196,50.0,auto,30.0,manhattan,1.0,,,,,
141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,141,InternalBleeding,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,173,1,7415,171,4000,6200,6370,zscore,sigma,3.0,range,datasets\normalized\zscore,0.1653723000199534,0.0424701772383636,0.10348418154218963,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 20, ""p"": 2}",,,,,,,0.883958815684527,0.4255681048647948,0.6256410256410256,0.7134502923976608,0.6666666666666666,0.5847953216374269,0.3529227218649325,122,7171,73,49,0.682608695652174,0.48538011695906436,0.5673422295752879,1.0,0.3567251461988304,0.9876812421114511,0.9991143288655444,173,0.682608695652174,0.48538011695906436,0.5673422295752879,20.0,auto,30.0,minkowski,2.0,,,,,
141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,141,InternalBleeding,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Local k10,Local k10,local_outlier_factor__tab_02,2,173,1,7415,171,4000,6200,6370,zscore,sigma,3.0,range,datasets\normalized\zscore,0.15918439999222755,0.03573766130961178,0.054976468210256126,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 10, ""p"": 2}",,,,,,,0.5762817221592542,0.10661913153996033,0.5555555555555556,0.2046783625730994,0.29914529914529914,0.2222222222222222,0.20066706594038017,35,7216,28,136,0.3333333333333333,0.36374269005847953,0.3478747203579418,1.0,0.2046783625730994,0.9682293506298901,0.9910865047536802,173,0.3333333333333333,0.36374269005847953,0.3478747203579418,10.0,auto,30.0,minkowski,2.0,,,,,
