dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,variant_origin,variant_source,variant_focus,variant_family,ablation_parameter,ablation_label,ablation_role,window_size,window_stride,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,threshold_method,threshold_value,evaluation_mode,prepared_dataset_dir,runtime_seconds,score_mean,score_std,params_json,error,param__n_estimators,param__max_samples,param__max_features,param__bootstrap,param__random_state,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window,evaluation_precision,evaluation_recall,evaluation_f1,param__n_neighbors,param__algorithm,param__leaf_size,param__metric,param__p,param__alpha,param__init_length,param__batch_size,param__k,param__subsequence_multiplier,param__overlap,param__start_index_multiplier,param__x_lag_multiplier,param__n_bins,param__tol,param__kernel,param__nu,param__gamma,param__train_fraction,param__n_components,param__n_selected_components,param__whiten,param__weighted,param__standardization
125_UCR_Anomaly_ECG4_5000_17000_17100,125,ECG,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,166,1,30000,101,5000,17000,17100,zscore,sigma,3.0,range,datasets\normalized\zscore,0.5397403999813832,0.0642395930129551,0.0935876023319557,"{""subsequence_multiplier"": 2}",,,,,,,0.9979319815656604,0.6300803763170687,0.2722371967654987,1.0,0.4279661016949153,0.3762376237623762,0.3450024000088224,101.0,29629.0,270.0,0.0,0.2722371967654987,1.0,0.4279661016949153,1.0,1.0,0.994272057502246,1.0,166,0.2722371967654987,1.0,0.4279661016949153,,,,,,,,,,2.0,,,,,,,,,,,,,,
125_UCR_Anomaly_ECG4_5000_17000_17100,125,ECG,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,2,auto,auto_ablation,Measures a shorter discord context focused on local deviations.,ablation,subsequence_multiplier,Subseq x1,score_driver,166,1,30000,101,5000,17000,17100,zscore,sigma,3.0,range,datasets\normalized\zscore,0.5426017999998294,0.0524666098083403,0.0752981418995904,"{""subsequence_multiplier"": 1}",,,,,,,0.998252201553812,0.4453561190669259,0.4654377880184331,1.0,0.6352201257861635,0.504950495049505,0.2783610355071116,101.0,29783.0,116.0,0.0,0.4654377880184331,1.0,0.6352201257861635,1.0,1.0,0.9971668202764976,1.0,166,0.4654377880184331,1.0,0.6352201257861635,,,,,,,,,,1.0,,,,,,,,,,,,,,
125_UCR_Anomaly_ECG4_5000_17000_17100,125,ECG,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,3,auto,auto_ablation,Measures a broader discord context for long anomalous structure.,ablation,subsequence_multiplier,Subseq x4,score_driver,166,1,30000,101,5000,17000,17100,zscore,sigma,3.0,range,datasets\normalized\zscore,0.545243400032632,0.1095186535720867,0.1309425382027063,"{""subsequence_multiplier"": 4}",,,,,,,0.9950692082486284,0.2795917589480403,0.1521084337349397,1.0,0.2640522875816993,0.1188118811881188,0.5023462681802058,101.0,29336.0,563.0,0.0,0.1521084337349397,1.0,0.2640522875816993,1.0,1.0,0.9891429718875502,1.0,166,0.1521084337349397,1.0,0.2640522875816993,,,,,,,,,,4.0,,,,,,,,,,,,,,
126_UCR_Anomaly_ECG4_8000_17000_17100,126,ECG,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,166,1,30000,101,8000,17000,17100,zscore,sigma,3.0,range,datasets\normalized\zscore,0.5508741999510676,0.128134067962658,0.1123064591090103,"{""subsequence_multiplier"": 2}",,,,,,,0.996624940931499,0.3359215793142245,0.3005952380952381,1.0,0.4622425629290618,0.3564356435643564,0.465053445289689,101.0,29664.0,235.0,0.0,0.1521084337349397,1.0,0.2640522875816993,1.0,1.0,0.9948436507936508,1.0,166,0.1521084337349397,1.0,0.2640522875816993,,,,,,,,,,2.0,,,,,,,,,,,,,,
126_UCR_Anomaly_ECG4_8000_17000_17100,126,ECG,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,2,auto,auto_ablation,Measures a shorter discord context focused on local deviations.,ablation,subsequence_multiplier,Subseq x1,score_driver,166,1,30000,101,8000,17000,17100,zscore,sigma,3.0,range,datasets\normalized\zscore,0.5499179000034928,0.0713707696334203,0.0746174692642822,"{""subsequence_multiplier"": 1}",,,,,,,0.9999774819449904,0.9909668666977224,0.4764150943396226,1.0,0.645367412140575,0.9801980198019802,0.295223177426267,101.0,29788.0,111.0,0.0,0.2393364928909952,1.0,0.3862332695984703,1.0,1.0,0.994,1.0,166,0.2393364928909952,1.0,0.3862332695984703,,,,,,,,,,1.0,,,,,,,,,,,,,,
126_UCR_Anomaly_ECG4_8000_17000_17100,126,ECG,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,3,auto,auto_ablation,Measures a broader discord context for long anomalous structure.,ablation,subsequence_multiplier,Subseq x4,score_driver,166,1,30000,101,8000,17000,17100,zscore,sigma,3.0,range,datasets\normalized\zscore,0.580186799983494,0.2154366775489725,0.1517761399033378,"{""subsequence_multiplier"": 4}",,,,,,,0.9924273105594114,0.1807549399570931,0.1507462686567164,1.0,0.2619974059662776,0.1188118811881188,0.670765097258986,101.0,29330.0,569.0,0.0,0.0384322678843226,1.0,0.0740197874679369,1.0,1.0,0.9760102487562188,1.0,166,0.0384322678843226,1.0,0.0740197874679369,,,,,,,,,,4.0,,,,,,,,,,,,,,
127_UCR_Anomaly_GP711MarkerLFM5z1_5000_6168_6212,127,GP711MarkerLFM5z,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,218,1,12000,45,5000,6168,6212,zscore,sigma,3.0,range,datasets\normalized\zscore,0.140856200014241,0.1549290463268409,0.1724930073215591,"{""subsequence_multiplier"": 2}",,,,,,,0.9891277475719132,0.1474862654175739,0.1041666666666666,1.0,0.1886792452830188,0.1111111111111111,0.6724080682915183,45.0,11568.0,387.0,0.0,0.1041666666666666,1.0,0.1886792452830188,1.0,1.0,0.9821905864197532,1.0,218,0.1041666666666666,1.0,0.1886792452830188,,,,,,,,,,2.0,,,,,,,,,,,,,,
127_UCR_Anomaly_GP711MarkerLFM5z1_5000_6168_6212,127,GP711MarkerLFM5z,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,2,auto,auto_ablation,Measures a shorter discord context focused on local deviations.,ablation,subsequence_multiplier,Subseq x1,score_driver,218,1,12000,45,5000,6168,6212,zscore,sigma,3.0,range,datasets\normalized\zscore,0.1176166000077501,0.0994585858479096,0.1150551284205697,"{""subsequence_multiplier"": 1}",,,,,,,0.9955499790882476,0.2791874549635703,0.2036199095022624,1.0,0.3383458646616541,0.0,0.4446239711096187,45.0,11779.0,176.0,0.0,0.2036199095022624,1.0,0.3383458646616541,1.0,1.0,0.9911666666666664,1.0,218,0.2036199095022624,1.0,0.3383458646616541,,,,,,,,,,1.0,,,,,,,,,,,,,,
127_UCR_Anomaly_GP711MarkerLFM5z1_5000_6168_6212,127,GP711MarkerLFM5z,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,3,auto,auto_ablation,Measures a broader discord context for long anomalous structure.,ablation,subsequence_multiplier,Subseq x4,score_driver,218,1,12000,45,5000,6168,6212,zscore,sigma,3.0,range,datasets\normalized\zscore,0.1352686999889556,0.310970324481303,0.1922524399656989,"{""subsequence_multiplier"": 4}",,,,,,,0.9746196384590362,0.0667890758002869,0.0920245398773006,1.0,0.1685393258426966,0.0,0.8877276443783999,45.0,11511.0,444.0,0.0,0.0474683544303797,1.0,0.0906344410876133,1.0,1.0,0.9627096114519428,1.0,218,0.0474683544303797,1.0,0.0906344410876133,,,,,,,,,,4.0,,,,,,,,,,,,,,
128_UCR_Anomaly_GP711MarkerLFM5z2_5000_7175_7388,128,GP711MarkerLFM5z,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,218,1,12000,214,5000,7175,7388,zscore,sigma,3.0,range,datasets\normalized\zscore,0.1409987999941222,0.0616753005158506,0.1743763989543889,"{""subsequence_multiplier"": 2}",,,,,,,0.9959031862609052,0.7540751483513429,0.4220907297830374,1.0,0.5936199722607489,0.6728971962616822,0.5848044973790174,214.0,11493.0,293.0,0.0,0.4220907297830374,1.0,0.593619972260749,1.0,1.0,0.98255966469428,1.0,218,0.4220907297830374,1.0,0.593619972260749,,,,,,,,,,2.0,,,,,,,,,,,,,,
128_UCR_Anomaly_GP711MarkerLFM5z2_5000_7175_7388,128,GP711MarkerLFM5z,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,2,auto,auto_ablation,Measures a shorter discord context focused on local deviations.,ablation,subsequence_multiplier,Subseq x1,score_driver,218,1,12000,214,5000,7175,7388,zscore,sigma,3.0,range,datasets\normalized\zscore,0.1154910000041127,0.0476431177467458,0.1231491255470115,"{""subsequence_multiplier"": 1}",,,,,,,0.994329562557192,0.709130576666966,0.6011730205278593,0.9579439252336448,0.7387387387387387,0.5887850467289719,0.4170904943877805,205.0,11650.0,136.0,9.0,0.3913936714231482,0.583177570093458,0.468415238470013,1.0,0.4789719626168224,0.9904403714565004,0.9999842289719626,218,0.3913936714231482,0.583177570093458,0.468415238470013,,,,,,,,,,1.0,,,,,,,,,,,,,,
128_UCR_Anomaly_GP711MarkerLFM5z2_5000_7175_7388,128,GP711MarkerLFM5z,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,3,auto,auto_ablation,Measures a broader discord context for long anomalous structure.,ablation,subsequence_multiplier,Subseq x4,score_driver,218,1,12000,214,5000,7175,7388,zscore,sigma,3.0,range,datasets\normalized\zscore,0.1353357000043615,0.1232514096179797,0.2365307008575338,"{""subsequence_multiplier"": 4}",,,,,,,0.99150782410939,0.5636137402554414,0.2853333333333333,1.0,0.4439834024896265,0.6495327102803738,0.8328435121905813,214.0,11250.0,536.0,0.0,0.2853333333333333,1.0,0.4439834024896265,1.0,1.0,0.971294,1.0,218,0.2853333333333333,1.0,0.4439834024896265,,,,,,,,,,4.0,,,,,,,,,,,,,,
129_UCR_Anomaly_GP711MarkerLFM5z3_5000_5948_5993,129,GP711MarkerLFM5z,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,218,1,12000,46,5000,5948,5993,zscore,sigma,3.0,range,datasets\normalized\zscore,0.1457797000184655,0.1409994053844184,0.1669504323075346,"{""subsequence_multiplier"": 2}",,,,,,,0.9844167133431778,0.1054283002570604,0.1100478468899521,1.0,0.1982758620689655,0.0,0.6418507023070225,46.0,11582.0,372.0,0.0,0.1100478468899521,1.0,0.1982758620689655,1.0,1.0,0.9827942583732058,1.0,218,0.1100478468899521,1.0,0.1982758620689655,,,,,,,,,,2.0,,,,,,,,,,,,,,
