dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,variant_origin,variant_source,variant_focus,variant_family,ablation_parameter,ablation_label,ablation_role,window_size,window_stride,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,threshold_method,threshold_value,evaluation_mode,prepared_dataset_dir,runtime_seconds,score_mean,score_std,params_json,error,param__n_estimators,param__max_samples,param__max_features,param__bootstrap,param__random_state,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window,evaluation_precision,evaluation_recall,evaluation_f1,param__n_neighbors,param__algorithm,param__leaf_size,param__metric,param__p,param__alpha,param__init_length,param__batch_size,param__k,param__subsequence_multiplier,param__overlap,param__start_index_multiplier,param__x_lag_multiplier,param__n_bins,param__tol,param__kernel,param__nu,param__gamma,param__train_fraction,param__n_components,param__n_selected_components,param__whiten,param__weighted,param__standardization
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4_6000_17390_17520,40,Lab2Cmac011215EPG,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Train frac 0.20,Train frac 0.20,ocsvm__tab_05,5,auto,auto_ablation,Measures a longer mostly-normal warmup segment for fitting the boundary.,ablation,train_fraction,Train frac 0.20,score_driver,34,1,30066,131,6000,17390,17520,zscore,sigma,3.0,range,datasets\normalized\zscore,0.8146279000211507,0.3591981441420859,0.0871699748813869,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.2}",,,,,,,0.8953052223838672,0.2611869380552394,0.2167487684729064,0.6717557251908397,0.3277467411545623,0.3358778625954198,0.6207080687862467,88.0,29617.0,318.0,43.0,0.0821917808219178,0.2895674300254453,0.1280402047743169,1.0,0.1119592875318066,0.7288920450542469,0.999947951656483,34,0.0821917808219178,0.2895674300254453,0.1280402047743169,,,,,,,,,,,,,,,,rbf,0.05,scale,0.2,,,,,
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5_7000_17390_17520,41,Lab2Cmac011215EPG,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,ocsvm__tab_01,1,auto,auto_ablation,Standard RBF novelty boundary with short warm-up.,baseline,baseline,Baseline,baseline,33,1,29826,131,7000,17390,17520,zscore,sigma,3.0,range,datasets\normalized\zscore,0.4302279999828897,0.4218564039009931,0.0936949795164172,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.8018783844402829,0.3443205606568569,0.1810810810810811,0.5114503816793893,0.2674650698602794,0.4809160305343511,0.7029413424502451,67.0,29392.0,303.0,64.0,0.0101515151515151,0.6091603053435115,0.0199702310362923,1.0,0.5114503816793893,0.6184930706204091,0.9989516805615062,33,0.0101515151515151,0.6091603053435115,0.0199702310362923,,,,,,,,,,,,,,,,rbf,0.05,scale,0.1,,,,,
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5_7000_17390_17520,41,Lab2Cmac011215EPG,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,ocsvm__tab_04,4,auto,auto_ablation,Measures a more local nonlinear boundary than the default `scale` heuristic.,ablation,gamma,Gamma 0.1,score_driver,33,1,29826,131,7000,17390,17520,zscore,sigma,3.0,range,datasets\normalized\zscore,0.3533163000247441,0.260370307522098,0.069200079758976,"{""gamma"": 0.1, ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.7982213573364834,0.1859697523399437,0.2112211221122112,0.4885496183206106,0.2949308755760368,0.465648854961832,0.4679705467990262,64.0,29456.0,239.0,67.0,0.0094256259204712,0.5908396946564886,0.018555241323769,1.0,0.4885496183206106,0.5813081660207864,0.998851097177881,33,0.0094256259204712,0.5908396946564886,0.018555241323769,,,,,,,,,,,,,,,,rbf,0.05,0.1,0.1,,,,,
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5_7000_17390_17520,41,Lab2Cmac011215EPG,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Kernel linear,Kernel linear,ocsvm__tab_02,2,auto,auto_ablation,Measures whether a linear novelty boundary is sufficient in the embedded window space.,ablation,kernel,Kernel linear,score_driver,33,1,29826,131,7000,17390,17520,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0925131000112742,0.3423299088311549,0.112497635728313,"{""gamma"": ""scale"", ""kernel"": ""linear"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.7743571089794591,0.1414728136530075,0.3358778625954198,0.3358778625954198,0.3358778625954198,0.3358778625954198,0.679822816016094,44.0,29608.0,87.0,87.0,0.0178571428571428,0.4687022900763359,0.034403541211408,1.0,0.3358778625954198,0.4906892546745679,0.9983863149268302,33,0.0178571428571428,0.4687022900763359,0.034403541211408,,,,,,,,,,,,,,,,linear,0.05,scale,0.1,,,,,
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5_7000_17390_17520,41,Lab2Cmac011215EPG,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Nu 0.10,Nu 0.10,ocsvm__tab_03,3,auto,auto_ablation,Measures a more permissive novelty boundary.,ablation,nu,Nu 0.10,score_driver,33,1,29826,131,7000,17390,17520,zscore,sigma,3.0,range,datasets\normalized\zscore,0.7140918000368401,0.3986524934404467,0.0949021200609084,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.1, ""train_fraction"": 0.1}",,,,,,,0.793450975502854,0.2342244398898432,0.1774193548387097,0.5038167938931297,0.2624254473161034,0.4885496183206106,0.6833588536231723,66.0,29389.0,306.0,65.0,0.0081824944210265,0.6030534351145038,0.0161459139751649,1.0,0.5038167938931297,0.6038511719225991,0.9989186646416902,33,0.0081824944210265,0.6030534351145038,0.0161459139751649,,,,,,,,,,,,,,,,rbf,0.1,scale,0.1,,,,,
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5_7000_17390_17520,41,Lab2Cmac011215EPG,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Train frac 0.20,Train frac 0.20,ocsvm__tab_05,5,auto,auto_ablation,Measures a longer mostly-normal warmup segment for fitting the boundary.,ablation,train_fraction,Train frac 0.20,score_driver,33,1,29826,131,7000,17390,17520,zscore,sigma,3.0,range,datasets\normalized\zscore,0.8130889000021853,0.4280025326853877,0.0933931653453596,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.2}",,,,,,,0.7972506744780588,0.3676796019852311,0.1903409090909091,0.5114503816793893,0.2774327122153209,0.4961832061068702,0.7081820287214667,67.0,29410.0,285.0,64.0,0.0106349206349206,0.6091603053435115,0.0209048770617594,1.0,0.5114503816793893,0.6276326462421439,0.9989516805615062,33,0.0106349206349206,0.6091603053435115,0.0209048770617594,,,,,,,,,,,,,,,,rbf,0.05,scale,0.2,,,,,
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6_7000_12190_12420,42,Lab2Cmac011215EPG,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,ocsvm__tab_01,1,auto,auto_ablation,Standard RBF novelty boundary with short warm-up.,baseline,baseline,Baseline,baseline,33,1,29859,231,7000,12190,12420,zscore,sigma,3.0,range,datasets\normalized\zscore,0.4243294000043534,0.350593046034474,0.0891839256532792,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.9692729528695508,0.6519580572519891,0.4339207048458149,0.8528138528138528,0.5751824817518248,0.6320346320346321,0.6181448229943116,197.0,29371.0,257.0,34.0,0.0747863247863248,0.3137085137085137,0.120779503199252,1.0,0.1421356421356421,0.7202825379135092,0.9999760780429924,33,0.0747863247863248,0.3137085137085137,0.120779503199252,,,,,,,,,,,,,,,,rbf,0.05,scale,0.1,,,,,
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6_7000_12190_12420,42,Lab2Cmac011215EPG,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,ocsvm__tab_04,4,auto,auto_ablation,Measures a more local nonlinear boundary than the default `scale` heuristic.,ablation,gamma,Gamma 0.1,score_driver,33,1,29859,231,7000,12190,12420,zscore,sigma,3.0,range,datasets\normalized\zscore,0.3576364000327885,0.2322996202033536,0.0697967616958211,"{""gamma"": 0.1, ""kernel"": ""rbf"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.9616305682526826,0.4334389054932354,0.4488188976377952,0.7402597402597403,0.5588235294117647,0.5800865800865801,0.4416899052908168,171.0,29418.0,210.0,60.0,0.0594059405940594,0.2987012987012987,0.0991023339317773,1.0,0.1233766233766233,0.6999114121585802,0.999916635604368,33,0.0594059405940594,0.2987012987012987,0.0991023339317773,,,,,,,,,,,,,,,,rbf,0.05,0.1,0.1,,,,,
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6_7000_12190_12420,42,Lab2Cmac011215EPG,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Kernel linear,Kernel linear,ocsvm__tab_02,2,auto,auto_ablation,Measures whether a linear novelty boundary is sufficient in the embedded window space.,ablation,kernel,Kernel linear,score_driver,33,1,29859,231,7000,12190,12420,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0912439000094309,0.4039471603229772,0.0999070074742727,"{""gamma"": ""scale"", ""kernel"": ""linear"", ""nu"": 0.05, ""train_fraction"": 0.1}",,,,,,,0.8818807761699621,0.1256513035960846,0.1458333333333333,0.0606060606060606,0.0856269113149847,0.2467532467532467,0.7036681827457955,14.0,29546.0,82.0,217.0,0.0862068965517241,0.2096969696969697,0.122183770040257,1.0,0.0121212121212121,0.4810391827701307,0.998963889298462,33,0.0862068965517241,0.2096969696969697,0.122183770040257,,,,,,,,,,,,,,,,linear,0.05,scale,0.1,,,,,
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6_7000_12190_12420,42,Lab2Cmac011215EPG,distorted,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Nu 0.10,Nu 0.10,ocsvm__tab_03,3,auto,auto_ablation,Measures a more permissive novelty boundary.,ablation,nu,Nu 0.10,score_driver,33,1,29859,231,7000,12190,12420,zscore,sigma,3.0,range,datasets\normalized\zscore,0.7099541000206955,0.3468622176914661,0.095736038059271,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.1, ""train_fraction"": 0.1}",,,,,,,0.9687313159366622,0.5620487748429849,0.3962264150943396,0.8181818181818182,0.5338983050847458,0.6147186147186147,0.6340703318692793,189.0,29340.0,288.0,42.0,0.0654205607476635,0.2935064935064935,0.1069931015825781,1.0,0.1168831168831168,0.6934404770204728,0.9999715836147062,33,0.0654205607476635,0.2935064935064935,0.1069931015825781,,,,,,,,,,,,,,,,rbf,0.1,scale,0.1,,,,,
