dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,variant_origin,variant_source,variant_focus,variant_family,ablation_parameter,ablation_label,ablation_role,window_size,window_stride,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,threshold_method,threshold_value,evaluation_mode,prepared_dataset_dir,runtime_seconds,score_mean,score_std,params_json,error,param__n_estimators,param__max_samples,param__max_features,param__bootstrap,param__random_state,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window,evaluation_precision,evaluation_recall,evaluation_f1,param__n_neighbors,param__algorithm,param__leaf_size,param__metric,param__p,param__alpha,param__init_length,param__batch_size,param__k,param__subsequence_multiplier,param__overlap,param__start_index_multiplier,param__x_lag_multiplier,param__n_bins,param__tol,param__kernel,param__nu,param__gamma,param__train_fraction,param__n_components,param__n_selected_components,param__whiten,param__weighted,param__standardization
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544,7,CIMIS44AirTemperature,distorted,damp,DAMP,Distance-based,Discord,DAMP | x_lag x8,x_lag x8,damp__tab_03,3,auto,auto_ablation,Measures a much deeper historical search horizon during backward matching.,ablation,x_lag_multiplier,x_lag x8,score_driver,24,1,8184,25,4000,6520,6544,zscore,sigma,3.0,range,datasets\normalized\zscore,4.166274799994426,0.3132066682907463,0.1654893351970642,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": 8.0}",,,,,,,0.9004779997548719,0.0570578735568355,0.0354609929078014,0.2,0.0602409638554216,0.16,0.8096746738819391,5.0,8023.0,136.0,20.0,0.0297619047619047,0.36,0.0549786194257788,1.0,0.2,0.5254358097100033,0.9980449657869012,24,0.0297619047619047,0.36,0.0549786194257788,,,,,,,,,,,,1.0,8.0,,,,,,,,,,,
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4_4000_5549_5597,8,CIMIS44AirTemperature,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,auto,auto_ablation,Reference streaming-discord configuration.,baseline,baseline,Baseline,baseline,24,1,8184,49,4000,5549,5597,zscore,sigma,3.0,range,datasets\normalized\zscore,4.013870199996745,0.3071429335811833,0.161956528544918,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": null}",,,,,,,0.9134001480124933,0.0395036435152808,0.0,0.0,0.0,0.0,0.7930125192159373,0.0,8065.0,70.0,49.0,0.0,0.0,0.0,0.0,0.0,0.3973833961737187,0.9556451612903226,24,0.0,0.0,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4_4000_5549_5597,8,CIMIS44AirTemperature,distorted,damp,DAMP,Distance-based,Discord,DAMP | Start x2,Start x2,damp__tab_02,2,auto,auto_ablation,Measures the effect of waiting longer before the backward search begins.,ablation,start_index_multiplier,Start x2,score_driver,24,1,8184,49,4000,5549,5597,zscore,sigma,3.0,range,datasets\normalized\zscore,3.9251779000042006,0.3056639932996137,0.1629452649705417,"{""start_index_multiplier"": 2.0, ""x_lag_multiplier"": null}",,,,,,,0.9134001480124933,0.0395036435152808,0.0,0.0,0.0,0.0,0.794499788211239,0.0,8067.0,68.0,49.0,0.0,0.0,0.0,0.0,0.0,0.3813448766603415,0.9556451612903226,24,0.0,0.0,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4_4000_5549_5597,8,CIMIS44AirTemperature,distorted,damp,DAMP,Distance-based,Discord,DAMP | x_lag x8,x_lag x8,damp__tab_03,3,auto,auto_ablation,Measures a much deeper historical search horizon during backward matching.,ablation,x_lag_multiplier,x_lag x8,score_driver,24,1,8184,49,4000,5549,5597,zscore,sigma,3.0,range,datasets\normalized\zscore,3.899171600001864,0.2988087494190907,0.1575614394282819,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": 8.0}",,,,,,,0.9045244157896716,0.0365331282841583,0.0,0.0,0.0,0.0,0.7714930677039364,0.0,8041.0,94.0,49.0,0.0,0.0,0.0,0.0,0.0,0.3325735477631497,0.9556451612903226,24,0.0,0.0,0.0,,,,,,,,,,,,1.0,8.0,,,,,,,,,,,
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900,9,CIMIS44AirTemperature,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,auto,auto_ablation,Reference streaming-discord configuration.,baseline,baseline,Baseline,baseline,24,1,8184,49,4000,4852,4900,zscore,sigma,3.0,range,datasets\normalized\zscore,3.9884613000031095,0.2655566202209285,0.155644622980596,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": null}",,,,,,,0.9517027708440476,0.3182574901959689,0.1415094339622641,0.6122448979591837,0.2298850574712643,0.3265306122448979,0.7324904891627166,30.0,7953.0,182.0,19.0,0.08,0.4448979591836735,0.1356143079315707,1.0,0.3061224489795918,0.5670861460004796,0.9991908053544,24,0.08,0.4448979591836735,0.1356143079315707,,,,,,,,,,,,1.0,,,,,,,,,,,,
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900,9,CIMIS44AirTemperature,distorted,damp,DAMP,Distance-based,Discord,DAMP | Start x2,Start x2,damp__tab_02,2,auto,auto_ablation,Measures the effect of waiting longer before the backward search begins.,ablation,start_index_multiplier,Start x2,score_driver,24,1,8184,49,4000,4852,4900,zscore,sigma,3.0,range,datasets\normalized\zscore,3.9768633999919984,0.263944753341062,0.1564731401566746,"{""start_index_multiplier"": 2.0, ""x_lag_multiplier"": null}",,,,,,,0.9519461134177089,0.3182805600724289,0.1415094339622641,0.6122448979591837,0.2298850574712643,0.3265306122448979,0.7333641738110861,30.0,7953.0,182.0,19.0,0.08,0.4448979591836735,0.1356143079315707,1.0,0.3061224489795918,0.5670861460004796,0.9991908053544,24,0.08,0.4448979591836735,0.1356143079315707,,,,,,,,,,,,2.0,,,,,,,,,,,,
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900,9,CIMIS44AirTemperature,distorted,damp,DAMP,Distance-based,Discord,DAMP | x_lag x8,x_lag x8,damp__tab_03,3,auto,auto_ablation,Measures a much deeper historical search horizon during backward matching.,ablation,x_lag_multiplier,x_lag x8,score_driver,24,1,8184,49,4000,4852,4900,zscore,sigma,3.0,range,datasets\normalized\zscore,3.9505187000031583,0.2658517657986042,0.1562867896464951,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": 8.0}",,,,,,,0.9546479685912472,0.3198710077726653,0.1401869158878504,0.6122448979591837,0.2281368821292775,0.3265306122448979,0.7347121347380896,30.0,7951.0,184.0,19.0,0.08,0.4448979591836735,0.1356143079315707,1.0,0.3061224489795918,0.5657465901097195,0.9991908053544,24,0.08,0.4448979591836735,0.1356143079315707,,,,,,,,,,,,1.0,8.0,,,,,,,,,,,
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054,10,CIMIS44AirTemperature,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,auto,auto_ablation,Reference streaming-discord configuration.,baseline,baseline,Baseline,baseline,24,1,8184,49,4000,6006,6054,zscore,sigma,3.0,range,datasets\normalized\zscore,4.120180400001118,0.2963036527038608,0.1608520241566134,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": null}",,,,,,,0.949477566072526,0.1580506208917494,0.1118421052631579,0.3469387755102041,0.1691542288557214,0.1428571428571428,0.7788597251737011,17.0,8000.0,135.0,32.0,0.1268115942028985,0.2925170068027211,0.1769235290660083,1.0,0.1156462585034013,0.5553848652055359,0.9991122548726236,24,0.1268115942028985,0.2925170068027211,0.1769235290660083,,,,,,,,,,,,1.0,,,,,,,,,,,,
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054,10,CIMIS44AirTemperature,distorted,damp,DAMP,Distance-based,Discord,DAMP | Start x2,Start x2,damp__tab_02,2,auto,auto_ablation,Measures the effect of waiting longer before the backward search begins.,ablation,start_index_multiplier,Start x2,score_driver,24,1,8184,49,4000,6006,6054,zscore,sigma,3.0,range,datasets\normalized\zscore,4.164940200018464,0.2935679643532728,0.1616159004933565,"{""start_index_multiplier"": 2.0, ""x_lag_multiplier"": null}",,,,,,,0.9497685736863892,0.1580974398937311,0.1111111111111111,0.3469387755102041,0.1683168316831683,0.1428571428571428,0.7784156658333425,17.0,7999.0,136.0,32.0,0.1268115942028985,0.2925170068027211,0.1769235290660083,1.0,0.1156462585034013,0.5564188692746567,0.9991122548726236,24,0.1268115942028985,0.2925170068027211,0.1769235290660083,,,,,,,,,,,,2.0,,,,,,,,,,,,
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054,10,CIMIS44AirTemperature,distorted,damp,DAMP,Distance-based,Discord,DAMP | x_lag x8,x_lag x8,damp__tab_03,3,auto,auto_ablation,Measures a much deeper historical search horizon during backward matching.,ablation,x_lag_multiplier,x_lag x8,score_driver,24,1,8184,49,4000,6006,6054,zscore,sigma,3.0,range,datasets\normalized\zscore,4.083273700001882,0.2937186806182426,0.160804687635933,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": 8.0}",,,,,,,0.9692058753433764,0.1760865568214368,0.1625,0.5306122448979592,0.2488038277511961,0.1632653061224489,0.7761327435260419,26.0,8001.0,134.0,23.0,0.0909090909090909,0.4122448979591837,0.1489675516224188,1.0,0.2653061224489796,0.5774735764907135,0.999340425319688,24,0.0909090909090909,0.4122448979591837,0.1489675516224188,,,,,,,,,,,,1.0,8.0,,,,,,,,,,,
