-------> THIS IS THE IForest METHOD REPORT <----------

fileName:016_UCR_Anomaly_DISTORTEDECG4_5000_16900_17100, AUC:0.44, R_AUC:0.64, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.02, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:29705, fn_count:201, fp_count:94, tp_count:0, elapsed_time:0.7848167419433594 seconds
fileName:017_UCR_Anomaly_DISTORTEDECG4_5000_17000_17100, AUC:0.27, R_AUC:0.41, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.0, R_AP:0.0, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:29795, fn_count:101, fp_count:104, tp_count:0, elapsed_time:0.8503141403198242 seconds
fileName:018_UCR_Anomaly_DISTORTEDECG4_8000_17000_17100, AUC:0.00, R_AUC:0.12, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.0, R_AP:0.0, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:29757, fn_count:101, fp_count:142, tp_count:0, elapsed_time:0.8142611980438232 seconds
fileName:019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1_5000_6168_6212, AUC:0.81, R_AUC:0.79, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.02, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:11918, fn_count:45, fp_count:37, tp_count:0, elapsed_time:0.5352315902709961 seconds
fileName:020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388, AUC:0.67, R_AUC:0.74, Precision:0.46, Recall:0.32, F:0.38, ExistenceReward:1.00, OverlapReward:0.16, AP:0.25, R_AP:0.49, Precisionk:0.32, R_precision:0.30, R_recall:0.33, R_f:0.31, tn_count:11707, fn_count:146, fp_count:79, tp_count:68, elapsed_time:0.5131678581237793 seconds
fileName:021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3_5000_5948_5993, AUC:0.90, R_AUC:0.95, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.02, R_AP:0.09, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:11846, fn_count:46, fp_count:108, tp_count:0, elapsed_time:0.49520301818847656 seconds
fileName:022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645, AUC:0.97, R_AUC:0.98, Precision:0.39, Recall:0.26, F:0.31, ExistenceReward:1.00, OverlapReward:0.03, AP:0.3, R_AP:0.54, Precisionk:0.26, R_precision:0.43, R_recall:0.22, R_f:0.29, tn_count:11833, fn_count:88, fp_count:48, tp_count:31, elapsed_time:0.48349428176879883 seconds
fileName:023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716, AUC:1.00, R_AUC:1.0, Precision:0.45, Recall:1.00, F:0.62, ExistenceReward:1.00, OverlapReward:1.00, AP:0.65, R_AP:0.99, Precisionk:1.00, R_precision:0.24, R_recall:1.00, R_f:0.38, tn_count:11769, fn_count:0, fp_count:126, tp_count:105, elapsed_time:0.5370941162109375 seconds
fileName:024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556, AUC:0.75, R_AUC:0.81, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.03, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:7365, fn_count:31, fp_count:105, tp_count:0, elapsed_time:0.38182497024536133 seconds
fileName:025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634, AUC:0.97, R_AUC:0.96, Precision:0.09, Recall:0.14, F:0.11, ExistenceReward:1.00, OverlapReward:0.14, AP:0.14, R_AP:0.21, Precisionk:0.14, R_precision:0.02, R_recall:0.31, R_f:0.04, tn_count:7430, fn_count:24, fp_count:43, tp_count:4, elapsed_time:0.38563990592956543 seconds
