-------> THIS IS THE SAND METHOD REPORT <----------

fileName:016_UCR_Anomaly_DISTORTEDECG4_5000_16900_17100, AUC:1.00, R_AUC:1.0, Precision:0.59, Recall:1.00, F:0.74, ExistenceReward:1.00, OverlapReward:1.00, AP:0.81, R_AP:0.99, Precisionk:1.00, R_precision:0.31, R_recall:1.00, R_f:0.47, tn_count:29660, fn_count:0, fp_count:139, tp_count:201, elapsed_time:4.61832070350647 seconds
fileName:017_UCR_Anomaly_DISTORTEDECG4_5000_17000_17100, AUC:0.99, R_AUC:1.0, Precision:0.34, Recall:0.99, F:0.51, ExistenceReward:1.00, OverlapReward:0.99, AP:0.6, R_AP:0.95, Precisionk:0.00, R_precision:0.28, R_recall:0.99, R_f:0.44, tn_count:29704, fn_count:1, fp_count:195, tp_count:100, elapsed_time:5.7367212772369385 seconds
fileName:018_UCR_Anomaly_DISTORTEDECG4_8000_17000_17100, AUC:0.99, R_AUC:0.99, Precision:0.59, Recall:0.99, F:0.74, ExistenceReward:1.00, OverlapReward:0.99, AP:0.6, R_AP:0.94, Precisionk:0.00, R_precision:0.59, R_recall:0.99, R_f:0.74, tn_count:29829, fn_count:1, fp_count:70, tp_count:100, elapsed_time:5.01560640335083 seconds
fileName:019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1_5000_6168_6212, AUC:1.00, R_AUC:1.0, Precision:0.25, Recall:1.00, F:0.41, ExistenceReward:1.00, OverlapReward:1.00, AP:1.0, R_AP:0.99, Precisionk:1.00, R_precision:0.25, R_recall:1.00, R_f:0.41, tn_count:11823, fn_count:0, fp_count:132, tp_count:45, elapsed_time:0.8448736667633057 seconds
fileName:020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388, AUC:1.00, R_AUC:1.0, Precision:0.50, Recall:1.00, F:0.67, ExistenceReward:1.00, OverlapReward:1.00, AP:0.89, R_AP:0.96, Precisionk:1.00, R_precision:0.50, R_recall:1.00, R_f:0.67, tn_count:11575, fn_count:0, fp_count:211, tp_count:214, elapsed_time:0.8426737785339355 seconds
fileName:021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3_5000_5948_5993, AUC:1.00, R_AUC:1.0, Precision:0.31, Recall:1.00, F:0.48, ExistenceReward:1.00, OverlapReward:1.00, AP:1.0, R_AP:0.99, Precisionk:1.00, R_precision:0.31, R_recall:1.00, R_f:0.48, tn_count:11853, fn_count:0, fp_count:101, tp_count:46, elapsed_time:0.8583478927612305 seconds
fileName:022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645, AUC:1.00, R_AUC:1.0, Precision:0.54, Recall:1.00, F:0.70, ExistenceReward:1.00, OverlapReward:1.00, AP:0.99, R_AP:0.99, Precisionk:1.00, R_precision:0.54, R_recall:1.00, R_f:0.70, tn_count:11778, fn_count:0, fp_count:103, tp_count:119, elapsed_time:0.9393866062164307 seconds
fileName:023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716, AUC:1.00, R_AUC:1.0, Precision:0.43, Recall:1.00, F:0.61, ExistenceReward:1.00, OverlapReward:1.00, AP:1.0, R_AP:0.99, Precisionk:1.00, R_precision:0.43, R_recall:1.00, R_f:0.61, tn_count:11758, fn_count:0, fp_count:137, tp_count:105, elapsed_time:7.8486998081207275 seconds
fileName:024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556, AUC:0.95, R_AUC:0.95, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.04, R_AP:0.11, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:7433, fn_count:31, fp_count:37, tp_count:0, elapsed_time:1.6383771896362305 seconds
fileName:025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634, AUC:1.00, R_AUC:1.0, Precision:0.19, Recall:1.00, F:0.32, ExistenceReward:1.00, OverlapReward:1.00, AP:0.89, R_AP:0.98, Precisionk:1.00, R_precision:0.19, R_recall:1.00, R_f:0.32, tn_count:7355, fn_count:0, fp_count:118, tp_count:28, elapsed_time:0.5539529323577881 seconds
