-------> THIS IS THE LOF METHOD REPORT <----------

fileName:016_UCR_Anomaly_DISTORTEDECG4_5000_16900_17100, AUC:1.00, R_AUC:1.0, Precision:0.59, Recall:1.00, F:0.74, ExistenceReward:1.00, OverlapReward:1.00, AP:0.86, R_AP:0.99, Precisionk:1.00, R_precision:0.20, R_recall:1.00, R_f:0.33, tn_count:29659, fn_count:0, fp_count:140, tp_count:201, elapsed_time:2.41227388381958 seconds
fileName:017_UCR_Anomaly_DISTORTEDECG4_5000_17000_17100, AUC:1.00, R_AUC:1.0, Precision:0.44, Recall:1.00, F:0.61, ExistenceReward:1.00, OverlapReward:1.00, AP:0.79, R_AP:0.97, Precisionk:1.00, R_precision:0.09, R_recall:1.00, R_f:0.17, tn_count:29771, fn_count:0, fp_count:128, tp_count:101, elapsed_time:2.3668229579925537 seconds
fileName:018_UCR_Anomaly_DISTORTEDECG4_8000_17000_17100, AUC:0.33, R_AUC:0.67, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.0, R_AP:0.08, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:29080, fn_count:101, fp_count:819, tp_count:0, elapsed_time:2.4741132259368896 seconds
fileName:019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1_5000_6168_6212, AUC:0.99, R_AUC:1.0, Precision:0.17, Recall:1.00, F:0.28, ExistenceReward:1.00, OverlapReward:1.00, AP:0.16, R_AP:0.85, Precisionk:1.00, R_precision:0.05, R_recall:1.00, R_f:0.10, tn_count:11728, fn_count:0, fp_count:227, tp_count:45, elapsed_time:0.7263176441192627 seconds
fileName:020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388, AUC:0.36, R_AUC:0.51, Precision:0.01, Recall:0.00, F:0.01, ExistenceReward:1.00, OverlapReward:0.00, AP:0.02, R_AP:0.1, Precisionk:0.00, R_precision:0.17, R_recall:0.20, R_f:0.18, tn_count:11609, fn_count:213, fp_count:177, tp_count:1, elapsed_time:0.6338741779327393 seconds
fileName:021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3_5000_5948_5993, AUC:1.00, R_AUC:1.0, Precision:0.22, Recall:1.00, F:0.36, ExistenceReward:1.00, OverlapReward:1.00, AP:0.34, R_AP:0.93, Precisionk:1.00, R_precision:0.22, R_recall:1.00, R_f:0.36, tn_count:11788, fn_count:0, fp_count:166, tp_count:46, elapsed_time:0.6459712982177734 seconds
fileName:022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645, AUC:0.22, R_AUC:0.64, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.13, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:11597, fn_count:119, fp_count:284, tp_count:0, elapsed_time:0.7398467063903809 seconds
fileName:023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716, AUC:0.32, R_AUC:0.6, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.22, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:11671, fn_count:105, fp_count:224, tp_count:0, elapsed_time:0.6753067970275879 seconds
fileName:024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556, AUC:0.96, R_AUC:0.98, Precision:0.05, Recall:0.29, F:0.09, ExistenceReward:1.00, OverlapReward:0.29, AP:0.05, R_AP:0.29, Precisionk:0.29, R_precision:0.02, R_recall:0.43, R_f:0.03, tn_count:7315, fn_count:22, fp_count:155, tp_count:9, elapsed_time:0.3291177749633789 seconds
fileName:025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634, AUC:0.99, R_AUC:1.0, Precision:0.17, Recall:1.00, F:0.29, ExistenceReward:1.00, OverlapReward:1.00, AP:0.3, R_AP:0.96, Precisionk:1.00, R_precision:0.17, R_recall:1.00, R_f:0.29, tn_count:7335, fn_count:0, fp_count:138, tp_count:28, elapsed_time:0.3202190399169922 seconds
