algorithm_display,algorithm_variant,ablation_parameter,ablation_label,ablation_role,dataset_count,mean_baseline_evaluation_f1,mean_variant_evaluation_f1,mean_delta_evaluation_f1,delta_evaluation_f1_ci_low,delta_evaluation_f1_ci_high,mean_delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,mean_delta_runtime_seconds,median_runtime_ratio,mean_runtime_ratio,win_rate_evaluation_f1,loss_rate_evaluation_f1,mean_delta_evaluation_precision,mean_delta_evaluation_recall,mean_delta_range_f1
PCA | Weighted off,Weighted off,weighted,Weighted off,score_driver,90,0.10113403543135434,0.10271350806939426,0.0015794726380399294,-0.00018911728755223434,0.0050392973152547154,0.0003313162740511642,-0.0007656935366280356,0.0018910729554853691,-0.0011251655562470359,0.9957431920254091,0.9928342369465983,0.011111111111111112,0.022222222222222223,0.0011780376868096175,0.0024714980009097652,0.0015794726380399294
PCA | Standardize off,Standardize off,standardization,Standardize off,score_driver,90,0.10113403543135434,0.10117505689300042,4.1021461646077884e-05,-8.415651356138005e-05,0.00016866113228425884,-0.0009322893355096655,-0.002243617531163095,0.00013863434678640393,-0.014595821109186445,0.8685394130791546,0.8183001020581405,0.03333333333333333,0.011111111111111112,3.498989060755199e-05,2.6884849314755422e-05,4.1021461646077884e-05
PCA | Whiten on,Whiten on,whiten,Whiten on,score_driver,90,0.10113403543135434,0.10113403543135434,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030829411090558603,1.0004745427893902,1.0098263220059818,0.0,0.0,0.0,0.0,0.0
PCA | Score comps 2,Score comps 2,n_selected_components,Score comps 2,score_driver,90,0.10113403543135434,0.10087142405599425,-0.00026261137536008557,-0.0010504455014403423,0.0,-1.486994194394588e-05,-6.728412499023939e-05,3.858149504644091e-05,-0.09076820555589317,0.30889789102947923,0.39324089693817343,0.0,0.011111111111111112,-0.0002777777777777777,0.0,-0.00026261137536008557
PCA | Components 0.95,Components 0.95,n_components,Components 0.95,score_driver,90,0.10113403543135434,0.10004465252598449,-0.001089382905369846,-0.005008454201032882,0.0038298571094201395,-0.004440704738987439,-0.01078652066826811,0.0028612344513692057,-0.08661088444480103,0.37543330044656287,0.42907587091523386,0.044444444444444446,0.12222222222222222,-0.0017142521912451587,0.0019718739168741563,-0.001089382905369846
