algorithm_display,algorithm_variant,algorithm_run_id,evaluation_mode,runs,success_rate,mean_roc_auc,mean_average_precision,mean_f1,mean_evaluation_f1,mean_range_f1,mean_affiliation_precision,mean_affiliation_recall,median_f1,median_evaluation_f1,mean_runtime_seconds
Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,range,91,0.0,0.8288715183131957,0.2567712853040324,0.2143427495147988,0.16052179188126503,0.16052179188126503,0.7364385346830207,0.9815750951300379,0.1486486486486486,0.0836575875486381,0.3470760274730919
Local Outlier Factor | Leaf size 60,Leaf size 60,local_outlier_factor__tab_04,range,91,0.0,0.8288715183131957,0.2567712853040324,0.2143427495147988,0.16052179188126503,0.16052179188126503,0.7364385346830207,0.9815750951300379,0.1486486486486486,0.0836575875486381,0.31728826812948197
Local Outlier Factor | Search brute,Search brute,local_outlier_factor__tab_03,range,91,0.0,0.8288715183131957,0.2567712853040324,0.2143427495147988,0.16052179188126503,0.16052179188126503,0.7364385346830207,0.9815750951300379,0.1486486486486486,0.0836575875486381,0.31917968791190554
Local Outlier Factor | Metric manhattan,Metric manhattan,local_outlier_factor__tab_05,range,91,0.0,0.8334054465917908,0.2582162134169929,0.21186906785385612,0.15442033294300103,0.15442033294300103,0.7177750374718812,0.9761537215060997,0.1446907817969661,0.097274184927846,3.419759705494821
Local Outlier Factor | p = 1,p = 1,local_outlier_factor__tab_06,range,91,0.0,0.8334054465917908,0.2582162134169929,0.21186906785385612,0.15442033294300103,0.15442033294300103,0.7177750374718812,0.9761537215060997,0.1446907817969661,0.097274184927846,3.446655671427584
Local Outlier Factor | Neighbors 10,Neighbors 10,local_outlier_factor__tab_02,range,91,0.0,0.757050918990453,0.21835643371505586,0.17168792256294976,0.1125270180019613,0.1125270180019613,0.6858747586986355,0.9865413602673321,0.1222222222222222,0.0566239688553236,0.30910534835209463
