algorithm_display,algorithm_variant,algorithm_run_id,evaluation_mode,runs,success_rate,mean_roc_auc,mean_average_precision,mean_f1,mean_evaluation_f1,mean_range_f1,mean_affiliation_precision,mean_affiliation_recall,median_f1,median_evaluation_f1,mean_runtime_seconds
SAND | Subseq x2,Subseq x2,sand__tab_06,range,90,0.0,0.9323330922719596,0.4753691286085746,0.32481022363489626,0.30321904688937634,0.30321904688937634,0.7581095011916014,0.8899057860591076,0.31843882265516454,0.21467772031842897,3.04079887222033
SAND | Init 3000,Init 3000,sand__tab_03,range,90,0.0,0.9403257757957405,0.47619083995437056,0.31661189855129124,0.3018490346260484,0.3018490346260484,0.7611529524288013,0.8861401299047387,0.29290832715591786,0.21432248388423258,6.1643266022215055
SAND | Overlap 64,Overlap 64,sand__tab_07,range,90,0.0,0.9413172465156995,0.4735470555151268,0.31548917472578386,0.2981667417064308,0.2981667417064308,0.7542662127174525,0.8749312718814053,0.2761657751121197,0.23928105792512575,11.221947810000469
SAND | k = 3,k = 3,sand__tab_05,range,90,0.0,0.9360822518025554,0.4822014354296381,0.3136159514433187,0.2928519305623456,0.2928519305623456,0.7680238071378657,0.8499848458342312,0.28869971328071886,0.2139902961928668,4.0256207644428486
SAND | Alpha 0.7,Alpha 0.7,sand__tab_02,range,90,0.0,0.9286311850770302,0.45822852319903673,0.30326562914919797,0.2874835654758456,0.2874835654758456,0.7428122977315924,0.8467357810753553,0.24136888144425825,0.2101267814473459,5.7924356011104665
SAND | Baseline,Baseline,sand__tab_01,range,91,0.0,0.9346095977251073,0.4741633941252839,0.3066202646626807,0.28658180934291205,0.28658180934291205,0.7435481704686179,0.8431043011681888,0.2525252525252525,0.2140391254315305,7.362419235165702
SAND | Batch 1000,Batch 1000,sand__tab_04,range,90,0.0,0.9284071087826621,0.3962372878871375,0.2721353896748531,0.2666344441658465,0.2666344441658465,0.7345085214845101,0.8356713188854983,0.20939481719251546,0.1659044093653124,6.635941166664836
