algorithm_display,algorithm_variant,variant,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
DAMP | Baseline,Baseline,distorted,38,0.8627582388714764,0.2250622889950703,0.19177653828694968,0.19177653828694968,5.659152836843676
DAMP | Start x2,Start x2,distorted,38,0.8816653928376537,0.21941479220938864,0.18979619169893416,0.18979619169893416,6.369237281577386
DAMP | x_lag x8,x_lag x8,distorted,38,0.8617337833821904,0.22500958224178935,0.1873917197959498,0.1873917197959498,5.669838868419327
DAMP | Baseline,Baseline,noise,8,0.7765180257056727,0.208960404880094,0.15469317326863782,0.15469317326863782,6.250801662499725
DAMP | x_lag x8,x_lag x8,noise,8,0.7752963656890985,0.20953560612411443,0.1546182706699648,0.1546182706699648,6.209501725003065
DAMP | Start x2,Start x2,noise,8,0.7272917872655267,0.2079325717337845,0.14729309761422665,0.14729309761422665,7.224776612500136
DAMP | x_lag x8,x_lag x8,raw,44,0.8872484272256774,0.25133486692646395,0.2154412937276373,0.2154412937276373,7.643889138638439
DAMP | Start x2,Start x2,raw,44,0.8950486237236913,0.2398068022756501,0.20324162054958714,0.20324162054958714,8.66815404545328
DAMP | Baseline,Baseline,raw,44,0.8884007934702381,0.24291150117009233,0.20296253609279968,0.20296253609279968,8.591231968179768
