algorithm_display,algorithm_variant,length_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
HBOS | Bins 20,Bins 20,medium,84,0.6084743424233492,0.09274129057797335,0.10722560436945236,0.10722560436945236,0.37300274047447596
HBOS | Baseline,Baseline,medium,84,0.6130551287670019,0.08580667994862853,0.10202053016689264,0.10202053016689264,0.372750859525002
HBOS | Tol 0.2,Tol 0.2,medium,84,0.6130551287670019,0.08580667994862853,0.10202053016689264,0.10202053016689264,0.3705097726179658
HBOS | Alpha 0.05,Alpha 0.05,medium,84,0.6111427735363617,0.0856297038574635,0.10115574908396129,0.10115574908396129,0.3705147690485492
HBOS | Alpha 0.05,Alpha 0.05,long,6,0.3675317337562753,0.0,0.0,0.0,1.3406355166613746
HBOS | Baseline,Baseline,long,6,0.36337586430732266,0.0,0.0,0.0,1.369073333335109
HBOS | Tol 0.2,Tol 0.2,long,6,0.36337586430732266,0.0,0.0,0.0,1.3568902833261138
HBOS | Bins 20,Bins 20,long,6,0.3545112945945062,0.0,0.0,0.0,1.332125666658006
