algorithm_display,algorithm_variant,length_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
DAMP | x_lag x8,x_lag x8,medium,84,0.8688665476386598,0.24544968453381732,0.20826579053176508,0.20826579053176508,5.240617540476835
DAMP | Baseline,Baseline,medium,84,0.8702008534771435,0.24140637683072366,0.20440562661777986,0.20440562661777986,5.301625613094767
DAMP | Start x2,Start x2,medium,84,0.8860348999642818,0.23714177949947202,0.202970356432348,0.202970356432348,5.803845030951336
DAMP | x_lag x8,x_lag x8,long,6,0.8337325817197337,0.11126826968411126,0.057153672825597114,0.057153672825597114,26.874856583332683
DAMP | Baseline,Baseline,long,6,0.8316200838953169,0.1056701030927835,0.047555465540478035,0.047555465540478035,32.95531270000114
DAMP | Start x2,Start x2,long,6,0.7128045121329677,0.10546875,0.04728690488965196,0.04728690488965196,32.28417083332897
