algorithm_display,algorithm_variant,algorithm_run_id,evaluation_mode,runs,success_rate,mean_roc_auc,mean_average_precision,mean_f1,mean_evaluation_f1,mean_range_f1,mean_affiliation_precision,mean_affiliation_recall,median_f1,median_evaluation_f1,mean_runtime_seconds
Isolation Forest | Trees 400,Trees 400,isolation_forest__tab_02,range,91,0.0,0.7201075640887203,0.18918524966833616,0.17182595052947677,0.15313429640083065,0.15313429640083065,0.7313648399690477,0.7502420265359978,0.0,0.0,0.9575225241737476
Isolation Forest | Seed 7,Seed 7,isolation_forest__tab_06,range,91,0.0,0.7325584459650593,0.1821678013212369,0.17016855128880373,0.15162408245671577,0.15162408245671577,0.7163329925997554,0.7931178277098351,0.0,0.0,0.4923660802180945
Isolation Forest | Max feat 0.6,Max feat 0.6,isolation_forest__tab_04,range,91,0.0,0.7201826540419493,0.19134659717534175,0.17097307377353627,0.151483298675296,0.151483298675296,0.7133888882655158,0.751792799790846,0.0,0.0,1.9174414582427075
Isolation Forest | Baseline,Baseline,isolation_forest__tab_01,range,91,0.0,0.715104297088987,0.18664513155834336,0.16910344451579176,0.14334595515524742,0.14334595515524742,0.719763751068163,0.7822145934921346,0.0,0.0,0.5048801626378138
Isolation Forest | Max samples auto,Max samples auto,isolation_forest__tab_03,range,91,0.0,0.715104297088987,0.18664513155834336,0.16910344451579176,0.14334595515524742,0.14334595515524742,0.719763751068163,0.7822145934921346,0.0,0.0,0.49557663626478893
Isolation Forest | Bootstrap on,Bootstrap on,isolation_forest__tab_05,range,91,0.0,0.7187161615689909,0.1940522840543299,0.17050653274726954,0.14208662140574846,0.14208662140574846,0.7348129907279699,0.7962585774958683,0.0,0.0,0.4581821054951953
