algorithm_display,algorithm_variant,param__subsequence_multiplier,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,median_evaluation_f1,mean_range_f1,success_rate,mean_runtime_seconds
Matrix Profile | Subseq x1,Subseq x1,1.0,90,0.9295051569163251,0.3438191434984803,0.27491259064189266,0.19108819525048115,0.27491259064189266,0.0,0.12661422111300955
Matrix Profile | Baseline,Baseline,2.0,90,0.9356182777957115,0.30159189281572424,0.2609568174711391,0.1863277532053076,0.2609568174711391,0.0,0.1392374722212682
Matrix Profile | Subseq x4,Subseq x4,4.0,90,0.9139702111149256,0.2423612158314325,0.2016575488477619,0.10590466903838675,0.2016575488477619,0.0,0.1420016999990265
