algorithm_display,algorithm_variant,algorithm_run_id,evaluation_mode,runs,success_rate,mean_roc_auc,mean_average_precision,mean_f1,mean_evaluation_f1,mean_range_f1,mean_affiliation_precision,mean_affiliation_recall,median_f1,median_evaluation_f1,mean_runtime_seconds
PCA | Weighted off,Weighted off,pca__tab_05,range,90,0.0,0.5708813063920537,0.11524063492038304,0.08853281353930094,0.10271350806939426,0.10271350806939426,0.7229917619282273,0.5207856421338083,0.0,0.0,0.11695320555558683
PCA | Standardize off,Standardize off,pca__tab_06,range,90,0.0,0.5696177007824927,0.11627489080125247,0.08853914786346062,0.10117505689300042,0.10117505689300042,0.7232989233144765,0.5212986864993598,0.0,0.0,0.10348255000264742
PCA | Baseline,Baseline,pca__tab_01,range,90,0.0,0.5705499901180024,0.11655948118974625,0.08838968935247946,0.10113403543135434,0.10113403543135434,0.7233270248724964,0.5212924500027536,0.0,0.0,0.11807837111183386
PCA | Whiten on,Whiten on,pca__tab_04,range,90,0.0,0.5705499901180024,0.11655948118974625,0.08838968935247946,0.10113403543135434,0.10113403543135434,0.7233270248724964,0.5212924500027536,0.0,0.0,0.11499543000277801
PCA | Score comps 2,Score comps 2,pca__tab_03,range,90,0.0,0.5705351201760586,0.11636652946664144,0.08839470792118366,0.10087142405599425,0.10087142405599425,0.7240500267380243,0.5212967695279612,0.0,0.0,0.027310165555940683
PCA | Components 0.95,Components 0.95,pca__tab_02,range,90,0.0,0.5661092853790151,0.11044052762332462,0.08759315481236617,0.10004465252598449,0.10004465252598449,0.7179601846220718,0.5158651512486568,0.0,0.0,0.03146748666703283
