regime_dimension,regime_value,algorithm_display,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
anomaly_ratio_bucket,moderate,SAND | Init 3000,41,0.8883916521148326,0.39523892428511204,0.4022063332056902,0.4022063332056902,38.37611671951074
anomaly_ratio_bucket,moderate,SAND | Subseq x2,41,0.8618607344854742,0.3962272343519408,0.39879012069788017,0.39879012069788017,14.231184139020781
anomaly_ratio_bucket,moderate,SAND | k = 3,41,0.8796722638363956,0.3778934692023673,0.3817009047565876,0.3817009047565876,32.007772507314236
anomaly_ratio_bucket,moderate,SAND | Overlap 64,41,0.884258722152758,0.3729135436157759,0.3739319377090172,0.3739319377090172,64.8180989365863
anomaly_ratio_bucket,moderate,SAND | Baseline,41,0.8876025868533272,0.372327295574918,0.37159963762889914,0.37159963762889914,34.45337336585309
anomaly_ratio_bucket,moderate,SAND | Alpha 0.7,41,0.8719110787231298,0.3525443055925272,0.3622605346460444,0.3622605346460444,37.38033889024234
anomaly_ratio_bucket,moderate,Matrix Profile | Baseline,41,0.9074150896749611,0.4313184809798246,0.3614229404525779,0.3614229404525779,0.5256060341475304
anomaly_ratio_bucket,moderate,Matrix Profile | Subseq x1,41,0.882536922969945,0.44605772555743595,0.3387752005339272,0.3387752005339272,0.49483709756452476
anomaly_ratio_bucket,moderate,OCSVM | Gamma 0.1,41,0.7259030417231155,0.3601851956269153,0.3238518220161978,0.3238518220161978,0.7094297829253042
anomaly_ratio_bucket,moderate,OCSVM | Nu 0.10,41,0.6628582396983602,0.30347624366965353,0.3044475018719047,0.3044475018719047,1.1245703707327044
anomaly_ratio_bucket,moderate,OCSVM | Train frac 0.20,41,0.6570010554109238,0.30757138089522357,0.3012435521833667,0.3012435521833667,1.2931970097507894
anomaly_ratio_bucket,moderate,OCSVM | Baseline,41,0.6634754948563324,0.3147150783123175,0.29844208806892075,0.29844208806892075,0.6734063707302018
anomaly_ratio_bucket,moderate,SAND | Batch 1000,41,0.837559440899143,0.27397273842203745,0.29564524561423294,0.29564524561423294,26.791769000000986
anomaly_ratio_bucket,moderate,Matrix Profile | Subseq x4,41,0.881768236755308,0.3118277335282911,0.2757605672618454,0.2757605672618454,0.551700685362093
anomaly_ratio_bucket,moderate,DAMP | Start x2,41,0.8254128437234463,0.27407356264155,0.24093738855218977,0.24093738855218977,17.394180521951057
anomaly_ratio_bucket,moderate,DAMP | x_lag x8,41,0.8027373293684766,0.27317026258365285,0.23868290569146974,0.23868290569146974,15.704460519510066
anomaly_ratio_bucket,moderate,DAMP | Baseline,41,0.8061737834934565,0.2716211188860686,0.23651165238057978,0.23651165238057978,16.798100490242287
anomaly_ratio_bucket,moderate,Isolation Forest | Trees 400,41,0.6037787291100732,0.25314937449768243,0.23575083999809202,0.23575083999809202,1.3967424292690915
anomaly_ratio_bucket,moderate,Local Outlier Factor | Baseline,41,0.7054086233603251,0.2658938826218388,0.2236192359682849,0.2236192359682849,1.472549948780996
anomaly_ratio_bucket,moderate,Local Outlier Factor | Leaf size 60,41,0.7054086233603251,0.2658938826218388,0.2236192359682849,0.2236192359682849,1.3416000707330547
anomaly_ratio_bucket,moderate,Local Outlier Factor | Search brute,41,0.7054086233603251,0.2658938826218388,0.2236192359682849,0.2236192359682849,1.3411072463453066
anomaly_ratio_bucket,moderate,Isolation Forest | Max feat 0.6,41,0.6028533220220296,0.24549131895398027,0.22321477057052957,0.22321477057052957,5.447349887805503
anomaly_ratio_bucket,moderate,Isolation Forest | Seed 7,41,0.6131278573440272,0.24761375980701092,0.21993163547464734,0.21993163547464734,0.7180983634174393
anomaly_ratio_bucket,moderate,Isolation Forest | Baseline,41,0.6044578813570847,0.24727403403648135,0.21900670174282239,0.21900670174282239,0.7445769780464527
anomaly_ratio_bucket,moderate,Isolation Forest | Max samples auto,41,0.6044578813570847,0.24727403403648135,0.21900670174282239,0.21900670174282239,0.7210927414629756
anomaly_ratio_bucket,moderate,Isolation Forest | Bootstrap on,41,0.6034226691863953,0.24558015895240182,0.21521482347195514,0.21521482347195514,0.668543702443613
anomaly_ratio_bucket,moderate,Local Outlier Factor | Metric manhattan,41,0.7055507559148835,0.2397785882515135,0.19356111838194126,0.19356111838194126,16.628775007313646
anomaly_ratio_bucket,moderate,Local Outlier Factor | p = 1,41,0.7055507559148835,0.2397785882515135,0.19356111838194126,0.19356111838194126,17.17350282194519
anomaly_ratio_bucket,moderate,Local Outlier Factor | Neighbors 10,41,0.6205585112606928,0.20964459523635184,0.14906360160473436,0.14906360160473436,1.3330770609758384
anomaly_ratio_bucket,moderate,HBOS | Bins 20,41,0.5418991535267517,0.11015278491649386,0.1404906577320595,0.1404906577320595,1.0830952585362488
anomaly_ratio_bucket,moderate,HBOS | Alpha 0.05,41,0.541956760253479,0.10618433141138575,0.13401174665111254,0.13401174665111254,1.0894790365873188
anomaly_ratio_bucket,moderate,HBOS | Baseline,41,0.5441767727396041,0.10401698785382732,0.13304802911001642,0.13304802911001642,1.0870677585338764
anomaly_ratio_bucket,moderate,HBOS | Tol 0.2,41,0.5441767727396041,0.10401698785382732,0.13304802911001642,0.13304802911001642,1.0917031048795651
anomaly_ratio_bucket,moderate,PCA | Components 0.95,41,0.41398961180789645,0.11673023139426818,0.13000368262136452,0.13000368262136452,0.07426270975932907
anomaly_ratio_bucket,moderate,PCA | Weighted off,41,0.4138816729562887,0.11664006917244608,0.12948789113631398,0.12948789113631398,0.2674042243920777
anomaly_ratio_bucket,moderate,PCA | Baseline,41,0.413794683741695,0.11688060633527494,0.128592407894107,0.128592407894107,0.2636113512179269
anomaly_ratio_bucket,moderate,PCA | Whiten on,41,0.413794683741695,0.11688060633527494,0.128592407894107,0.128592407894107,0.254986687802579
anomaly_ratio_bucket,moderate,PCA | Score comps 2,41,0.4137912758976084,0.11688060633527494,0.128592407894107,0.128592407894107,0.0592546024346985
anomaly_ratio_bucket,moderate,PCA | Standardize off,41,0.414072941145668,0.11713024661133337,0.1285810618180737,0.1285810618180737,0.23025488048485226
anomaly_ratio_bucket,moderate,OCSVM | Kernel linear,41,0.33089863497757405,0.04918026086884806,0.08784751549001332,0.08784751549001332,0.20901218780796266
anomaly_ratio_bucket,sparse,SAND | Alpha 0.7,131,0.9243214429065598,0.2411168783114185,0.18604766099357364,0.18604766099357364,25.818058062595394
anomaly_ratio_bucket,sparse,SAND | Init 3000,130,0.9328713032008208,0.2407352599864156,0.17991465618243832,0.17991465618243832,22.811554386153762
anomaly_ratio_bucket,sparse,SAND | k = 3,130,0.9261223677617697,0.24391542258377039,0.17877429656762472,0.17877429656762472,18.1631821030771
