algorithm_display,algorithm_variant,anomaly_ratio_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
Matrix Profile | Subseq x1,Subseq x1,sparse,63,0.9332926363133228,0.2606456611506115,0.1938081860311185,0.1938081860311185,0.13092781111204416
Matrix Profile | Baseline,Baseline,sparse,63,0.9545456672469023,0.21846181891160063,0.170081801318129,0.170081801318129,0.14467432857019868
Matrix Profile | Subseq x4,Subseq x4,sparse,63,0.9380644845217262,0.1754579140365678,0.12862355378669457,0.12862355378669457,0.13652607936519268
Matrix Profile | Baseline,Baseline,moderate,27,0.8914543690762662,0.4955620652586794,0.47299852182816265,0.47299852182816265,0.12655147407376374
Matrix Profile | Subseq x1,Subseq x1,moderate,27,0.9206677049899968,0.5378906023101743,0.4641562014003658,0.4641562014003658,0.11654917778192876
Matrix Profile | Subseq x4,Subseq x4,moderate,27,0.8577502398323908,0.39846892001945017,0.3720702039902523,0.3720702039902523,0.15477814814463875
