algorithm_display,algorithm_variant,ablation_parameter,ablation_label,ablation_role,dataset_count,mean_baseline_evaluation_f1,mean_variant_evaluation_f1,mean_delta_evaluation_f1,delta_evaluation_f1_ci_low,delta_evaluation_f1_ci_high,mean_delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,mean_delta_runtime_seconds,median_runtime_ratio,mean_runtime_ratio,win_rate_evaluation_f1,loss_rate_evaluation_f1,mean_delta_evaluation_precision,mean_delta_evaluation_recall,mean_delta_range_f1
SAND | Subseq x2,Subseq x2,subsequence_multiplier,Subseq x2,score_driver,90,0.28976605166894437,0.30321904688937634,0.013452995220432005,-0.011903864707400569,0.03917375855439771,-0.0017776951836148704,-0.012789585358787192,0.008249183441040525,-3.807552701113875,0.6226353868310235,0.8327580515430889,0.37777777777777777,0.3111111111111111,0.020600073585365274,0.0019215879368490896,0.013452995220432005
SAND | Init 3000,Init 3000,init_length,Init 3000,score_driver,90,0.28976605166894437,0.3018490346260484,0.012082982957104025,-0.006686953622212798,0.03019823533176573,0.006214988340165925,-0.00018257443924982961,0.015086181294546416,-0.6840249711126994,1.1179709098113944,1.2167276586655977,0.36666666666666664,0.3111111111111111,0.018945588643012847,-0.0047296173382345525,0.012082982957104025
SAND | Overlap 64,Overlap 64,overlap,Overlap 64,score_driver,90,0.28976605166894437,0.2981667417064308,0.008400690037486431,2.772363348300028e-05,0.017257624332238267,0.0072064590601248766,5.6264470892294005e-05,0.01834181203628278,4.3735962366662635,1.3326090836245976,1.996707793521826,0.4,0.24444444444444444,0.00557043164705922,0.003183170966687519,0.008400690037486431
SAND | k = 3,k = 3,k,k = 3,score_driver,90,0.28976605166894437,0.29285193056234554,0.0030858788934012456,-0.00876128560793433,0.015217896295586494,0.00197146434698086,-0.006095116453573308,0.013881330475990133,-2.822730808891356,0.6641571985909471,0.7410542372044309,0.28888888888888886,0.2111111111111111,0.0017577097662016014,-0.0010924829528874537,0.0030858788934012456
SAND | Alpha 0.7,Alpha 0.7,alpha,Alpha 0.7,score_driver,90,0.28976605166894437,0.2874835654758456,-0.0022824861930988045,-0.01644542963179863,0.0091920216925064,-0.005479602378544443,-0.015349081902700361,0.001995090360317413,-1.0559159722237381,1.008654097977404,1.0675889457934977,0.36666666666666664,0.3111111111111111,0.00923572612148678,-0.02611713665287582,-0.0022824861930988045
SAND | Batch 1000,Batch 1000,batch_size,Batch 1000,score_driver,90,0.28976605166894437,0.2666344441658465,-0.023131607503097895,-0.048162250738969174,0.0014915675545156281,-0.005703678672912455,-0.019424877573852653,0.00897328723245843,-0.212410406669369,1.076807345012715,1.1135623485643535,0.34444444444444444,0.35555555555555557,0.000336389614115731,-0.07050939937016328,-0.023131607503097895
