algorithm_display,algorithm_variant,anomaly_ratio_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
DAMP | x_lag x8,x_lag x8,sparse,63,0.8746629845997776,0.16474871658618234,0.13868852747061747,0.13868852747061747,6.972126104762235
DAMP | Start x2,Start x2,sparse,63,0.870608232324991,0.16015053190477263,0.13551636015793503,0.13551636015793503,7.751002242855195
DAMP | Baseline,Baseline,sparse,63,0.8751425553024159,0.16320950613842417,0.1347294731258933,0.1347294731258933,6.981437931745498
DAMP | x_lag x8,x_lag x8,moderate,27,0.8475339800807349,0.4039338508894754,0.3370322670730722,0.3370322670730722,6.008039566667759
DAMP | Baseline,Baseline,moderate,27,0.8500967115333246,0.3937021253932135,0.332127726748337,0.332127726748337,7.527327333333368
DAMP | Start x2,Start x2,moderate,27,0.8835348160490015,0.38752735066499905,0.32576669184093476,0.32576669184093476,7.144995048148472
