algorithm_display,algorithm_variant,ablation_parameter,ablation_label,ablation_role,dataset_count,mean_baseline_evaluation_f1,mean_variant_evaluation_f1,mean_delta_evaluation_f1,delta_evaluation_f1_ci_low,delta_evaluation_f1_ci_high,mean_delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,mean_delta_runtime_seconds,median_runtime_ratio,mean_runtime_ratio,win_rate_evaluation_f1,loss_rate_evaluation_f1,mean_delta_evaluation_precision,mean_delta_evaluation_recall,mean_delta_range_f1
OCSVM | Gamma 0.1,Gamma 0.1,gamma,Gamma 0.1,score_driver,90,0.2035760657060255,0.24068069401344014,0.037104628307414664,0.013495943312139016,0.06026218529966208,-0.027259493462503597,-0.0694025430290809,0.014796236564404952,0.03384376000030898,0.9964778794003402,1.1340836962483347,0.36666666666666664,0.2777777777777778,0.02403696960486998,0.02400788830041273,0.037104628307414664
OCSVM | Train frac 0.20,Train frac 0.20,train_fraction,Train frac 0.20,score_driver,90,0.2035760657060255,0.21111541112540494,0.0075393454193794325,-0.007035393772566683,0.021355418883294286,-0.008728531658592777,-0.02042327483066575,0.0023973990219351283,0.08831583444423612,1.5569722034464415,1.558171329399309,0.28888888888888886,0.28888888888888886,0.01524233877726887,0.012431995936375135,0.0075393454193794325
OCSVM | Nu 0.10,Nu 0.10,nu,Nu 0.10,score_driver,90,0.2035760657060255,0.19679037213705722,-0.006785693568968255,-0.016569770012821675,-0.00021596408832420878,-0.001392759425940941,-0.004049740096958113,0.0011746728957577107,0.058307680001598805,1.4118883029913945,1.4000107065624907,0.14444444444444443,0.24444444444444444,-0.005096648391944506,-0.0008461560301404612,-0.006785693568968255
OCSVM | Kernel linear,Kernel linear,kernel,Kernel linear,score_driver,90,0.2035760657060255,0.0813535596446544,-0.12222250606137108,-0.17188519568466362,-0.07974428913862357,-0.35470544283611793,-0.44310392625284273,-0.2689741170886488,-0.10622601889093251,0.2823413201900733,0.27541956715465915,0.12222222222222222,0.5444444444444444,-0.10759794865676992,-0.22625124521838355,-0.12222250606137108
