dataset_name,best_algorithm,best_algorithm_base_display,best_algorithm_superfamily,best_algorithm_category,best_algorithm_display,best_algorithm_variant,best_window_size,best_window_stride,best_threshold_method,best_threshold_value,best_evaluation_mode,best_evaluation_f1
120_UCR_Anomaly_ECG2_15000_16000_16100,pca,PCA,Density-based,Encoding,PCA | Baseline,Baseline,91,1,sigma,3.0,range,0.1634014924363685
121_UCR_Anomaly_ECG3_15000_16000_16100,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,166,1,sigma,3.0,range,0.6733333333333333
122_UCR_Anomaly_ECG3_8000_17000_17100,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,166,1,sigma,3.0,range,0.7188612099644128
124_UCR_Anomaly_ECG4_5000_16900_17100,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,166,1,sigma,3.0,range,0.8786618337393785
125_UCR_Anomaly_ECG4_5000_17000_17100,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,166,1,sigma,3.0,range,0.7426470588235294
126_UCR_Anomaly_ECG4_8000_17000_17100,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,166,1,sigma,3.0,range,0.3862332695984703
127_UCR_Anomaly_GP711MarkerLFM5z1_5000_6168_6212,sand,SAND,Distance-based,Clustering,SAND | Alpha 0.7,Alpha 0.7,218,1,sigma,3.0,range,0.430622009569378
128_UCR_Anomaly_GP711MarkerLFM5z2_5000_7175_7388,sand,SAND,Distance-based,Clustering,SAND | Init 3000,Init 3000,218,1,sigma,3.0,range,0.8575733124178286
129_UCR_Anomaly_GP711MarkerLFM5z3_5000_5948_5993,sand,SAND,Distance-based,Clustering,SAND | Batch 1000,Batch 1000,218,1,sigma,3.0,range,0.5679012345679012
130_UCR_Anomaly_GP711MarkerLFM5z4_4000_6527_6645,sand,SAND,Distance-based,Clustering,SAND | Batch 1000,Batch 1000,218,1,sigma,3.0,range,0.8206896551724138
131_UCR_Anomaly_GP711MarkerLFM5z5_5000_8612_8716,sand,SAND,Distance-based,Clustering,SAND | Batch 1000,Batch 1000,218,1,sigma,3.0,range,0.7894736842105263
132_UCR_Anomaly_InternalBleeding10_3200_4526_4556,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,154,1,sigma,3.0,range,0.4366197183098591
133_UCR_Anomaly_InternalBleeding14_2800_5607_5634,sand,SAND,Distance-based,Clustering,SAND | Batch 1000,Batch 1000,154,1,sigma,3.0,range,0.3783783783783783
134_UCR_Anomaly_InternalBleeding15_1700_5684_5854,isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Seed 7,Seed 7,173,1,sigma,3.0,range,0.896774193548387
135_UCR_Anomaly_InternalBleeding16_1200_4187_4199,sand,SAND,Distance-based,Clustering,SAND | Init 3000,Init 3000,183,1,sigma,3.0,range,0.2476190476190476
136_UCR_Anomaly_InternalBleeding17_1600_3198_3309,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,183,1,sigma,3.0,range,0.8454761904761904
137_UCR_Anomaly_InternalBleeding18_2300_4485_4587,sand,SAND,Distance-based,Clustering,SAND | Subseq x2,Subseq x2,183,1,sigma,3.0,range,0.9793527283540664
138_UCR_Anomaly_InternalBleeding19_3000_4187_4197,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,183,1,sigma,3.0,range,0.2222222222222222
139_UCR_Anomaly_InternalBleeding20_2700_5759_5919,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,183,1,sigma,3.0,range,0.8969359331476323
140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,178,1,sigma,3.0,range,0.7805878980602746
141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Baseline,Baseline,173,1,sigma,3.0,range,0.8335607094133697
142_UCR_Anomaly_InternalBleeding6_1500_3474_3629,isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Bootstrap on,Bootstrap on,154,1,sigma,3.0,range,0.8664423817437477
143_UCR_Anomaly_InternalBleeding8_2500_5865_5974,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,165,1,sigma,3.0,range,0.7515937568696417
144_UCR_Anomaly_InternalBleeding9_4200_6599_6681,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,175,1,sigma,3.0,range,0.0
145_UCR_Anomaly_Lab2Cmac011215EPG1_5000_17210_17260,pca,PCA,Density-based,Encoding,PCA | Baseline,Baseline,33,1,sigma,3.0,range,0.3709090909090909
146_UCR_Anomaly_Lab2Cmac011215EPG2_5000_27862_27932,sand,SAND,Distance-based,Clustering,SAND | Init 3000,Init 3000,33,1,sigma,3.0,range,0.117405442409721
147_UCR_Anomaly_Lab2Cmac011215EPG3_5000_16390_16420,hbos,HBOS,Density-based,Distribution,HBOS | Baseline,Baseline,33,1,sigma,3.0,range,0.1528594334580438
148_UCR_Anomaly_Lab2Cmac011215EPG4_6000_17390_17520,hbos,HBOS,Density-based,Distribution,HBOS | Bins 20,Bins 20,34,1,sigma,3.0,range,0.1831140350877193
149_UCR_Anomaly_Lab2Cmac011215EPG5_7000_17390_17520,damp,DAMP,Distance-based,Discord,DAMP | x_lag x8,x_lag x8,33,1,sigma,3.0,range,0.169356394264772
150_UCR_Anomaly_Lab2Cmac011215EPG6_7000_12190_12420,sand,SAND,Distance-based,Clustering,SAND | Batch 1000,Batch 1000,33,1,sigma,3.0,range,0.2023436210595807
151_UCR_Anomaly_MesoplodonDensirostris_10000_19280_19440,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Train frac 0.20,Train frac 0.20,46,1,sigma,3.0,range,0.2968577728776185
152_UCR_Anomaly_PowerDemand1_9000_18485_18821,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,168,1,sigma,3.0,range,0.8529611980939414
153_UCR_Anomaly_PowerDemand2_14000_23357_23717,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,168,1,sigma,3.0,range,0.9000609384521633
154_UCR_Anomaly_PowerDemand3_16000_23405_23477,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,168,1,sigma,3.0,range,0.0417620137299771
155_UCR_Anomaly_PowerDemand4_18000_24005_24077,sand,SAND,Distance-based,Clustering,SAND | k = 3,k = 3,168,1,sigma,3.0,range,0.3287804878048781
156_UCR_Anomaly_TkeepFifthMARS_3500_5988_6085,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,98,1,sigma,3.0,range,0.8484848484848484
157_UCR_Anomaly_TkeepFirstMARS_3500_5365_5380,sand,SAND,Distance-based,Clustering,SAND | Overlap 64,Overlap 64,98,1,sigma,3.0,range,0.1831619537275064
158_UCR_Anomaly_TkeepForthMARS_3500_5988_6085,isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Trees 400,Trees 400,98,1,sigma,3.0,range,0.6426592797783934
159_UCR_Anomaly_TkeepSecondMARS_3500_9330_9340,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,98,1,sigma,3.0,range,0.2857142857142857
160_UCR_Anomaly_TkeepThirdMARS_3500_4711_4809,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,98,1,sigma,3.0,range,0.6947368421052631
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,115,1,sigma,3.0,range,0.4184852374839538
162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979,hbos,HBOS,Density-based,Distribution,HBOS | Baseline,Baseline,115,1,sigma,3.0,range,0.6936416184971099
163_UCR_Anomaly_apneaecg2_10000_20950_21100,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,40,1,sigma,3.0,range,0.3876723438767234
164_UCR_Anomaly_apneaecg3_5000_11111_11211,sand,SAND,Distance-based,Clustering,SAND | Subseq x2,Subseq x2,40,1,sigma,3.0,range,0.2437466737626396
165_UCR_Anomaly_apneaecg4_6000_16000_16100,sand,SAND,Distance-based,Clustering,SAND | Subseq x2,Subseq x2,40,1,sigma,3.0,range,0.143687707641196
166_UCR_Anomaly_apneaecg_10000_12240_12308,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Gamma 0.1,Gamma 0.1,40,1,sigma,3.0,range,0.3300970873786408
173_UCR_Anomaly_insectEPG1_3000_7000_7030,damp,DAMP,Distance-based,Discord,DAMP | x_lag x8,x_lag x8,26,1,sigma,3.0,range,0.3028169014084507
174_UCR_Anomaly_insectEPG2_3700_8000_8025,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Kernel linear,Kernel linear,26,1,sigma,3.0,range,0.2459717198290036
175_UCR_Anomaly_insectEPG3_5200_7000_7050,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,26,1,sigma,3.0,range,0.2779456193353474
176_UCR_Anomaly_insectEPG4_1300_6508_6558,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,26,1,sigma,3.0,range,0.2854291417165669
177_UCR_Anomaly_insectEPG5_3200_8500_8501,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Kernel linear,Kernel linear,26,1,sigma,3.0,range,0.0909090909090909
178_UCR_Anomaly_ltstdbs30791AI_17555_52600_52800,sand,SAND,Distance-based,Clustering,SAND | k = 3,k = 3,233,1,sigma,3.0,range,0.4407894736842105
179_UCR_Anomaly_ltstdbs30791AS_23000_52600_52800,pca,PCA,Density-based,Encoding,PCA | Baseline,Baseline,233,1,sigma,3.0,range,0.796039603960396
180_UCR_Anomaly_ltstdbs30791ES_20000_52600_52800,sand,SAND,Distance-based,Clustering,SAND | Batch 1000,Batch 1000,233,1,sigma,3.0,range,0.3640789829591561
182_UCR_Anomaly_qtdbSel1005V_4000_12400_12800,sand,SAND,Distance-based,Clustering,SAND | Subseq x2,Subseq x2,188,1,sigma,3.0,range,0.3364624505928854
183_UCR_Anomaly_qtdbSel100MLII_4000_13400_13800,sand,SAND,Distance-based,Clustering,SAND | k = 3,k = 3,189,1,sigma,3.0,range,0.5132313668366109
192_UCR_Anomaly_s20101mML2_12000_35774_35874,sand,SAND,Distance-based,Clustering,SAND | Alpha 0.7,Alpha 0.7,108,1,sigma,3.0,range,0.1421534130893736
193_UCR_Anomaly_s20101m_10000_35774_35874,sand,SAND,Distance-based,Clustering,SAND | Baseline,Baseline,108,1,sigma,3.0,range,0.2373678025851938
