algorithm_display,algorithm_variant,algorithm_run_id,evaluation_mode,runs,success_rate,mean_roc_auc,mean_average_precision,mean_f1,mean_evaluation_f1,mean_range_f1,mean_affiliation_precision,mean_affiliation_recall,median_f1,median_evaluation_f1,mean_runtime_seconds
OCSVM | Gamma 0.1,Gamma 0.1,ocsvm__tab_04,range,90,0.0,0.7209885387996274,0.26227891111900153,0.2663670929261667,0.24068069401344014,0.24068069401344014,0.7993008790906581,0.9101540800669691,0.19951923076923075,0.23346803245309022,0.18339519666721266
OCSVM | Train frac 0.20,Train frac 0.20,ocsvm__tab_05,range,90,0.0,0.7395195006035382,0.25883448908092416,0.23317101709924262,0.2111154111254049,0.2111154111254049,0.8322146148493221,0.8707198893006276,0.1513032422123331,0.1079743988929251,0.23786727111113978
OCSVM | Baseline,Baseline,ocsvm__tab_01,range,90,0.0,0.748248032262131,0.2545869760596674,0.22719321892214464,0.2035760657060255,0.2035760657060255,0.7951817024468665,0.8630399776524252,0.1812865497076023,0.0975965446363409,0.14955143666690368
OCSVM | Nu 0.10,Nu 0.10,ocsvm__tab_03,range,90,0.0,0.7468552728361901,0.25423053804954804,0.22413954172232647,0.19679037213705722,0.19679037213705722,0.7889428121606372,0.878739892614503,0.1515796191894479,0.10183389627223846,0.20785911666850246
OCSVM | Kernel linear,Kernel linear,ocsvm__tab_02,range,90,0.0,0.39354258942601306,0.06685758187762128,0.056548052787752115,0.08135355964465439,0.08135355964465439,0.6823658455580427,0.7212364293795798,0.0,0.0,0.043325417775971146
