algorithm_display,algorithm_variant,algorithm_run_id,evaluation_mode,runs,success_rate,mean_roc_auc,mean_average_precision,mean_f1,mean_evaluation_f1,mean_range_f1,mean_affiliation_precision,mean_affiliation_recall,median_f1,median_evaluation_f1,mean_runtime_seconds
HBOS | Bins 20,Bins 20,hbos__tab_02,range,90,0.0,0.5915434725680929,0.11708839892925715,0.08655853787277512,0.10007723074482221,0.10007723074482221,0.6435408347457381,0.5693052059795043,0.0,0.0,0.43694426888671134
HBOS | Baseline,Baseline,hbos__tab_01,range,90,0.0,0.59640984446969,0.11575893490853531,0.08008623461871997,0.09521916148909979,0.09521916148909979,0.6402699085561334,0.45260418498892574,0.0,0.0,0.43917235777900915
HBOS | Tol 0.2,Tol 0.2,hbos__tab_04,range,90,0.0,0.59640984446969,0.11575893490853531,0.08008623461871997,0.09521916148909979,0.09521916148909979,0.6402699085561334,0.45260418498892574,0.0,0.0,0.4362684733318424
HBOS | Alpha 0.05,Alpha 0.05,hbos__tab_03,range,90,0.0,0.5949020375510226,0.11328299418679454,0.0799210569336326,0.09441203247836387,0.09441203247836387,0.6504580403867278,0.48887139399581475,0.0,0.0,0.4351894855560709
