algorithm_display,algorithm_variant,param__alpha,param__init_length,param__batch_size,param__subsequence_multiplier,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,median_evaluation_f1,mean_range_f1,success_rate,mean_runtime_seconds
SAND | Subseq x2,Subseq x2,0.5,5000.0,2000.0,2.0,90,0.9323330922719596,0.32481022363489626,0.30321904688937634,0.21467772031842897,0.30321904688937634,0.0,3.04079887222033
SAND | Init 3000,Init 3000,0.5,3000.0,2000.0,4.0,90,0.9403257757957405,0.31661189855129124,0.3018490346260484,0.21432248388423258,0.3018490346260484,0.0,6.1643266022215055
SAND | Overlap 64,Overlap 64,0.5,5000.0,2000.0,4.0,90,0.9413172465156995,0.31548917472578386,0.2981667417064308,0.23928105792512575,0.2981667417064308,0.0,11.221947810000469
SAND | k = 3,k = 3,0.5,5000.0,2000.0,4.0,90,0.9360822518025554,0.3136159514433187,0.2928519305623456,0.2139902961928668,0.2928519305623456,0.0,4.0256207644428486
SAND | Alpha 0.7,Alpha 0.7,0.7,5000.0,2000.0,4.0,90,0.9286311850770302,0.30326562914919797,0.2874835654758456,0.2101267814473459,0.2874835654758456,0.0,5.7924356011104665
SAND | Baseline,Baseline,0.5,5000.0,2000.0,4.0,91,0.9346095977251073,0.3066202646626807,0.28658180934291205,0.2140391254315305,0.28658180934291205,0.0,7.362419235165702
SAND | Batch 1000,Batch 1000,0.5,5000.0,1000.0,4.0,90,0.9284071087826621,0.2721353896748531,0.2666344441658465,0.1659044093653124,0.2666344441658465,0.0,6.635941166664836
