algorithm_display,algorithm_variant,anomaly_ratio_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
OCSVM | Gamma 0.1,Gamma 0.1,sparse,63,0.6811350276778577,0.1945691946510655,0.1797741286245933,0.1797741286245933,0.17391474920672376
OCSVM | Train frac 0.20,Train frac 0.20,sparse,63,0.7571356555406434,0.18803176680250178,0.15447054622939432,0.15447054622939432,0.242271466665746
OCSVM | Baseline,Baseline,sparse,63,0.7633059447865946,0.17420737527547403,0.1429715859976239,0.1429715859976239,0.14568591904863418
OCSVM | Nu 0.10,Nu 0.10,sparse,63,0.7611900364627927,0.17070515652528606,0.13317885796062998,0.13317885796062998,0.2114800396828084
OCSVM | Kernel linear,Kernel linear,sparse,63,0.41027497274452357,0.048776731036109834,0.059048765602037284,0.059048765602037284,0.04463760952127072
OCSVM | Gamma 0.1,Gamma 0.1,moderate,27,0.8139800647504233,0.4338955222347363,0.3827960132540828,0.3827960132540828,0.20551624074168673
OCSVM | Nu 0.10,Nu 0.10,moderate,27,0.7134074910407838,0.3488197738487542,0.34521723854872083,0.34521723854872083,0.1994102963017886
OCSVM | Baseline,Baseline,moderate,27,0.7131129030383824,0.3508268540977093,0.3449865183589625,0.3449865183589625,0.1585709777761992
OCSVM | Train frac 0.20,Train frac 0.20,moderate,27,0.698415139083626,0.33849593445830456,0.3432867625494296,0.3432867625494296,0.22759081481705865
OCSVM | Kernel linear,Kernel linear,moderate,27,0.35450036168282195,0.07468113687491743,0.13339807907742765,0.13339807907742765,0.0402636370369388
