algorithm_display,algorithm_variant,ablation_parameter,ablation_label,ablation_role,dataset_count,mean_baseline_evaluation_f1,mean_variant_evaluation_f1,mean_delta_evaluation_f1,delta_evaluation_f1_ci_low,delta_evaluation_f1_ci_high,mean_delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,mean_delta_runtime_seconds,median_runtime_ratio,mean_runtime_ratio,win_rate_evaluation_f1,loss_rate_evaluation_f1,mean_delta_evaluation_precision,mean_delta_evaluation_recall,mean_delta_range_f1
Isolation Forest | Trees 400,Trees 400,n_estimators,Trees 400,score_driver,91,0.14334595515524742,0.15313429640083065,0.009788341245583223,0.0009378764389805572,0.02102822946993728,0.005003266999733324,0.0005249685936601869,0.010352365568103887,0.4526423615359338,1.9551416231194736,1.9392840866369463,0.2087912087912088,0.17582417582417584,0.006725119728683692,0.015732143545499018,0.009788341245583223
Isolation Forest | Seed 7,Seed 7,random_state,Seed 7,stability,91,0.14334595515524742,0.15162408245671577,0.00827812730146834,-0.011858480705152753,0.02657402585836849,0.01745414887607219,0.008136866459862516,0.02853560924734037,-0.012514082419719283,1.007300369661398,0.9972372037326568,0.2087912087912088,0.2087912087912088,-0.013508316213702956,0.004266059160026438,0.00827812730146834
Isolation Forest | Max feat 0.6,Max feat 0.6,max_features,Max feat 0.6,score_driver,91,0.14334595515524742,0.151483298675296,0.008137343520048568,-0.010142108036503394,0.024410950795933292,0.005078356952962245,-0.005012804160657784,0.01685079777370459,1.4125612956048936,2.565830612138048,3.0642719690759677,0.23076923076923078,0.18681318681318682,-0.009022050407984176,-0.00479813499756378,0.008137343520048568
Isolation Forest | Max samples auto,Max samples auto,max_samples,Max samples auto,score_driver,91,0.14334595515524742,0.14334595515524742,0.0,0.0,0.0,0.0,0.0,0.0,-0.009303526373024886,1.0032308606817602,0.996950150778889,0.0,0.0,0.0,0.0,0.0
Isolation Forest | Bootstrap on,Bootstrap on,bootstrap,Bootstrap on,score_driver,91,0.14334595515524742,0.14208662140574846,-0.0012593337494989582,-0.01885522829386998,0.017846924273381824,0.0036118644800038845,-0.004359730510907037,0.011582394794719604,-0.04669805714261851,0.9340990487734241,0.9231772074582005,0.1978021978021978,0.1978021978021978,-0.017653705825487576,0.006915636541947864,-0.0012593337494989582
