algorithm_display,algorithm_variant,param__alpha,param__n_bins,param__tol,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,median_evaluation_f1,mean_range_f1,success_rate,mean_runtime_seconds
HBOS | Bins 20,Bins 20,0.1,20.0,0.5,90,0.5915434725680929,0.08655853787277512,0.10007723074482221,0.0,0.10007723074482221,0.0,0.43694426888671134
HBOS | Tol 0.2,Tol 0.2,0.1,10.0,0.2,90,0.59640984446969,0.08008623461871997,0.09521916148909979,0.0,0.09521916148909979,0.0,0.4362684733318424
HBOS | Baseline,Baseline,0.1,10.0,0.5,90,0.59640984446969,0.08008623461871997,0.09521916148909979,0.0,0.09521916148909979,0.0,0.43917235777900915
HBOS | Alpha 0.05,Alpha 0.05,0.05,10.0,0.5,90,0.5949020375510226,0.0799210569336326,0.09441203247836387,0.0,0.09441203247836387,0.0,0.4351894855560709
