algorithm_display,algorithm_variant,variant,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
Matrix Profile | Subseq x1,Subseq x1,distorted,38,0.9309470456423201,0.343129011074893,0.2652763193397066,0.2652763193397066,0.08806907105501614
Matrix Profile | Baseline,Baseline,distorted,38,0.9282123792258447,0.2965345836188965,0.2508946250401109,0.2508946250401109,0.09792004999900723
Matrix Profile | Subseq x4,Subseq x4,distorted,38,0.9162883144938985,0.250604306647113,0.20296589975858342,0.20296589975858342,0.09280769473805676
Matrix Profile | Baseline,Baseline,noise,8,0.8573003382019674,0.2622978016344995,0.250189485105909,0.250189485105909,0.13333288749345226
Matrix Profile | Subseq x1,Subseq x1,noise,8,0.7885751081040729,0.2892496388946938,0.2461058522635723,0.2461058522635723,0.12600067500534345
Matrix Profile | Subseq x4,Subseq x4,noise,8,0.8206199427600306,0.22305066501494902,0.1983610513764796,0.1983610513764796,0.12982013750297478
Matrix Profile | Subseq x1,Subseq x1,raw,44,0.9538835346188297,0.3543368950649942,0.28847241374438437,0.28847241374438437,0.1600147681826704
Matrix Profile | Baseline,Baseline,raw,44,0.9562539064867317,0.31310394915502543,0.2716045895461598,0.2716045895461598,0.17599426136373283
Matrix Profile | Subseq x4,Subseq x4,raw,44,0.9289409888067027,0.2387531920936145,0.2011269726013765,0.2011269726013765,0.18670226136005522
