algorithm_display,algorithm_variant,anomaly_ratio_bucket,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
HBOS | Bins 20,Bins 20,sparse,63,0.6167435716519841,0.06770816072768772,0.0702035815382593,0.0702035815382593,0.39894986190206727
HBOS | Baseline,Baseline,sparse,63,0.6275098175321984,0.05882538012369329,0.06311001441867253,0.06311001441867253,0.40171062539928476
HBOS | Tol 0.2,Tol 0.2,sparse,63,0.6275098175321984,0.05882538012369329,0.06311001441867253,0.06311001441867253,0.3904387190460323
HBOS | Alpha 0.05,Alpha 0.05,sparse,63,0.6261872925864086,0.05712683446861876,0.061045548077110115,0.061045548077110115,0.3956352730165235
HBOS | Alpha 0.05,Alpha 0.05,moderate,27,0.5219031091351218,0.1331075760186649,0.17226716274795598,0.17226716274795598,0.527482648148348
HBOS | Baseline,Baseline,moderate,27,0.5238432406571704,0.12969489510711554,0.17014050465343009,0.17014050465343009,0.5265830666650329
HBOS | Tol 0.2,Tol 0.2,moderate,27,0.5238432406571704,0.12969489510711554,0.17014050465343009,0.17014050465343009,0.5432045666653991
HBOS | Bins 20,Bins 20,moderate,27,0.5327432413723472,0.1305427512113124,0.16978241222680235,0.16978241222680235,0.5255978851842142
