algorithm_display,algorithm_variant,param__n_neighbors,param__algorithm,param__leaf_size,param__metric,param__p,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,median_evaluation_f1,mean_range_f1,success_rate,mean_runtime_seconds
Local Outlier Factor | Leaf size 60,Leaf size 60,20.0,auto,60.0,minkowski,2.0,91,0.8288715183131957,0.2143427495147988,0.16052179188126503,0.0836575875486381,0.16052179188126503,0.0,0.31728826812948197
Local Outlier Factor | Search brute,Search brute,20.0,brute,30.0,minkowski,2.0,91,0.8288715183131957,0.2143427495147988,0.16052179188126503,0.0836575875486381,0.16052179188126503,0.0,0.31917968791190554
Local Outlier Factor | Baseline,Baseline,20.0,auto,30.0,minkowski,2.0,91,0.8288715183131957,0.2143427495147988,0.16052179188126503,0.0836575875486381,0.16052179188126503,0.0,0.3470760274730919
Local Outlier Factor | Metric manhattan,Metric manhattan,20.0,auto,30.0,manhattan,2.0,91,0.8334054465917908,0.21186906785385612,0.15442033294300103,0.097274184927846,0.15442033294300103,0.0,3.419759705494821
Local Outlier Factor | p = 1,p = 1,20.0,auto,30.0,minkowski,1.0,91,0.8334054465917908,0.21186906785385612,0.15442033294300103,0.097274184927846,0.15442033294300103,0.0,3.446655671427584
Local Outlier Factor | Neighbors 10,Neighbors 10,10.0,auto,30.0,minkowski,2.0,91,0.757050918990453,0.17168792256294976,0.1125270180019613,0.0566239688553236,0.1125270180019613,0.0,0.30910534835209463
