algorithm_display,ablation_parameter,ablation_role,length_bucket,dataset_count,mean_delta_evaluation_f1,mean_delta_roc_auc,mean_runtime_ratio
OCSVM | Gamma 0.1,gamma,score_driver,medium,84,0.03363575193032375,-0.033623568999952294,1.140257683039754
OCSVM | Train frac 0.20,train_fraction,score_driver,medium,84,0.005481083465011761,-0.009320663183551141,1.538563276781516
OCSVM | Nu 0.10,nu,score_driver,medium,84,-0.008207617961141033,-0.0007268138541064215,1.3881640905874058
OCSVM | Kernel linear,kernel,score_driver,medium,84,-0.12285638409749569,-0.3580452207366226,0.27250895284158794
OCSVM | Gamma 0.1,gamma,score_driver,long,6,0.08566889758668743,0.06183756406177813,1.0476478811684637
OCSVM | Train frac 0.20,train_fraction,score_driver,long,6,0.03635501278052684,-0.0004386903091756951,1.8326840660484092
OCSVM | Nu 0.10,nu,score_driver,long,6,0.013121247921450632,-0.010715997431624213,1.5658633302136826
OCSVM | Kernel linear,kernel,score_driver,long,6,-0.1133482135556267,-0.3079485522290531,0.3161681675376556
